search_id,database_or_engine,search_query,search_date,year_filter,domain,result_count_screened,sources_retained,exclusion_reason,notes
R7-S01,Codex web search,Mafia theoretical study partial information environment DOI,2026-08-04,none,social_deduction,12,3,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained Werewolf/Mafia theory and AI sources
R7-S02,AAAI OJS,Werewolf social deduction commitment strategies,2026-08-04,none,social_deduction,4,2,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained peer-reviewed AIIDE Werewolf papers
R7-S03,ACL Anthology,Mafia Avalon deception role identification dialogue,2026-08-04,none,social_deduction,5,3,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained Mafia/Avalon dialogue papers
R7-S04,Codex web search,Harsanyi Spence Crawford Sobel Akerlof DOI,2026-08-04,none,asymmetric_information,12,6,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained canonical information economics sources
R7-S05,Codex web search,Banerjee Bikhchandani herding informational cascades DOI,2026-08-04,none,herding_trust,12,5,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained herding and trust records
R7-S06,PubMed and publisher records,fake news misinformation spread credibility DOI,2026-08-04,none,deception_misinformation,12,5,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained misinformation and accuracy-intervention sources
R7-S07,Codex web search,market manipulation noise trader risk herding finance DOI,2026-08-04,none,behavioral_finance,12,8,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained financial-market analogy sources
R7-S08,ACL Anthology and publisher pages,bag of words domain adaptation dataset bias text classification,2026-08-04,none,bow_domain_shift,12,7,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained BoW and domain-shift sources
R7-S09,"PMLR, AAAI OJS, Microsoft Research",off-policy evaluation distribution shift doubly robust policy,2026-08-04,none,offline_policy,12,7,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained OPE and offline RL sources
R7-S10,Publisher and book pages,agent-based simulation verification validation ODD protocol,2026-08-04,none,simulation_validation,12,6,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained ABM and simulation V&V sources
R7-S11,Publisher and index records,Sharpe Sortino VaR CVaR portfolio risk DOI,2026-08-04,none,risk_metrics,12,7,"duplicates, superficial keyword matches, inaccessible metadata, or unrelated domain focus",retained risk metric sources
