scale_metric,minimum_confirmed_unique,maximum_possible_rows,can_be_summed_across_stages,source_basis,overlap_caveat,final_reporting_rule
total_complete_live_game_executions_from_game_level_rows,151450,170450,no,game-level raw files plus summary-only multi-seed files where exact games per condition are reported,R4 and R5 share source games; seat-order rows include deterministic duplicates; summary-only ten-player stages may overlap configuration families.,"Report stage-specific counts and sample units, not one grand independent N."
matched_configuration_sets,19350,not_applicable,no,"matched_set_id counts in R3, R4/R5, ML live stages, seat-order-neutral, and R6.1 modules",Matched sets are defined within stage and cannot be pooled without stage clustering.,Use stage-level matched-set counts for formal contrasts.
player_game_rows,80000,80000,no,R4 and R5 player payoff files each have 40000 rows over the same payoff validation source games.,R4 and R5 are derived from the same player-game units.,Use R5 for final risk table; use R4 for ledger validation.
event_rows,417247,612057,no,R4 payoff event rows and R6.1 role-action/vote event logs; R3 belief updates counted separately.,Event rows are nested within games and cannot be treated as independent outcomes.,Use only for mechanism diagnostics.
utterance_rows,32721,261192,no,R2 utterance dataset plus R3 live speech events.,Speech event rows are nested inside games and templates.,"Use for BoW feature and speech-signal analysis, not game outcome N."
vote_and_belief_update_rows,389620,513368,no,R3 vote/belief rows and R6.1 villager vote rows.,Rows are nested in games and policies.,Use for mechanism diagnostics only.
rollout_and_counterfactual_rows,16932,16932,no,BoW and ML rollout/counterfactual diagnostic tables.,"Rollout branches are simulated continuations, not live complete games.",Report as diagnostic/counterfactual rows.
unique_seeds,at least 20,not_applicable,no,R6.1 final seed registry plus earlier multi-seed stages.,Seed labels recur across stages and are not independent by themselves.,Use seed robustness within stage.
behavioral_regimes,10,not_applicable,no,R6.1 behavioral regime registry.,Regime definitions differ in early stages.,Use regime robustness within comparable stages.
literature_sources_screened_or_retained,64,88 including R7.1 replacement-source identifiers,no,R7 retained sources and R7.1 replacement registry.,Literature sources are not empirical simulation samples.,Use DOI-only R7.1 final bibliography for final citations.
doi_eligible_final_literature_sources,44,44,yes_as_bibliography_count_only,R7.1 final references and bibliography.,Bibliography entries support claims; they are not experimental outcomes.,Every final literature citation must be from R7.1 final bibliography.
