claim_id,claim_text,project_source,claim_type,final_supporting_source,citation_key,doi,publication_year,recent,foundational,recent_companion_present,support_strength,overclaim_risk,r71_revision,final_safe_wording
R7-C01,Every major project chapter has at least one literature mapping.,results/literature_synthesis_stage_r7/r7_finding_literature_comparison_matrix.csv,methodological claim,S066,abar2017abms,10.1016/j.cosrev.2017.03.001,2017,True,False,True,fully_supported,low,No revision needed.,Every major chapter is mapped to at least one cited source.
R7-C01,Every major project chapter has at least one literature mapping.,results/literature_synthesis_stage_r7/r7_finding_literature_comparison_matrix.csv,methodological claim,S067,grimm2020odd,10.18564/jasss.4259,2020,True,False,True,fully_supported,low,No revision needed.,Every major chapter is mapped to at least one cited source.
R7-C02,Financial analogies are conceptual rather than causal market claims.,results/literature_synthesis_stage_r7/r7_financial_analogy_crosswalk.csv,financial analogy,S073,cookson2023echo,10.1093/rfs/hhac058,2023,True,False,True,fully_supported,medium,Keep qualification.,"The financial analogy is a bounded conceptual framework, not a causal claim about real markets."
R7-C02,Financial analogies are conceptual rather than causal market claims.,results/literature_synthesis_stage_r7/r7_financial_analogy_crosswalk.csv,financial analogy,S076,cresci2018fake,10.1609/icwsm.v12i1.15073,2018,True,False,True,fully_supported,medium,Keep qualification.,"The financial analogy is a bounded conceptual framework, not a causal claim about real markets."
R7-C02,Financial analogies are conceptual rather than causal market claims.,results/literature_synthesis_stage_r7/r7_financial_analogy_crosswalk.csv,financial analogy,S084,siganos2025fakenews,10.1080/1351847X.2024.2395927,2025,True,False,True,fully_supported,medium,Keep qualification.,"The financial analogy is a bounded conceptual framework, not a causal claim about real markets."
R7-C03,Low-information village weakness is consistent with hidden-role theory.,experiment_report.md,theoretical interpretation,S001,braverman2008mafia,10.1214/07-AAP456,2008,False,True,True,fully_supported,low,No revision needed.,Low-information village weakness is consistent with partial-information hidden-role theory.
R7-C03,Low-information village weakness is consistent with hidden-role theory.,experiment_report.md,theoretical interpretation,S002,eger2018story,10.1609/aiide.v14i1.13015,2018,True,False,True,fully_supported,low,No revision needed.,Low-information village weakness is consistent with partial-information hidden-role theory.
R7-C04,Trust-weighted voting is consistent with reputation-weighted aggregation.,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv,theoretical interpretation,S025,pennycook2019crowd,10.1073/pnas.1806781116,2019,True,False,True,fully_supported,low,No revision needed.,Trust-weighted voting parallels reputation-weighted aggregation.
R7-C04,Trust-weighted voting is consistent with reputation-weighted aggregation.,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv,theoretical interpretation,S073,cookson2023echo,10.1093/rfs/hhac058,2023,True,False,True,fully_supported,low,No revision needed.,Trust-weighted voting parallels reputation-weighted aggregation.
R7-C05,Herding can amplify error.,trust_weighted_herding_experiment.py outputs,literature-derived claim,S015,banerjee1992herd,10.2307/2118364,1992,False,True,True,fully_supported,low,No revision needed.,Herding can amplify public errors when social signals overwhelm private evidence.
R7-C05,Herding can amplify error.,trust_weighted_herding_experiment.py outputs,literature-derived claim,S016,bikhchandani1992cascades,10.1086/261849,1992,False,True,True,fully_supported,low,No revision needed.,Herding can amplify public errors when social signals overwhelm private evidence.
R7-C05,Herding can amplify error.,trust_weighted_herding_experiment.py outputs,literature-derived claim,S079,toyokawa2019social,10.1038/s41562-018-0518-x,2019,True,False,True,fully_supported,low,No revision needed.,Herding can amplify public errors when social signals overwhelm private evidence.
R7-C06,False accusation benefit is not causal market evidence.,stage3_experiment_report.md,causal claim,S030,allen1992manipulation,10.1093/rfs/5.3.503,1992,False,True,True,requires_qualification,high,Use descriptive wording.,False accusation showed game-specific descriptive effects under simulated rules.
