claim_id,claim_summary,stage,source_file,source_table_or_section,dataset,analysis_script,commit_hash,verification_status,notes
C1,Stage 1 random baseline wolf win 93 percent,Stage 1,experiment_report.md,Results Table,results/ablation_results.csv,ablation_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Report says 500 games; current CSV has 100.
C2,Stage 1 witch_action village win 49 percent,Stage 1,experiment_report.md,Results Table,results/ablation_results.csv,ablation_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Sequential role-action ablation.
C3,Stage 2 speech and role-prior mechanisms improve village descriptively,Stage 2,stage2_experiment_report.md,Sections 6-10,results/ablation_results.csv,ablation_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Exploratory 100-game/current CSV mismatch noted.
C4,False accusation fell from 78 percent to 50 percent after costs,Stage 3,stage3_experiment_report.md,Results sections,stage3_experiment_report.md,wolf_deception_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,No formal p-values.
C5,Trust vote weight 0.40 reduced wolf win to 36.40 percent,Stage 4,stage4_experiment_report.md,Sensitivity results,stage4_experiment_report.md,speaker_memory_sensitivity.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Single-seed 500-game sensitivity.
C6,Ten-player speech village mean 65.16 percent,Ten-player,ten_player_experiment_report.md,Multi-seed summary,results/ten_player_multi_seed_summary.md,ten_player_multi_seed_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Summary lacks formal p-values.
C7,Risk conservative majority wolf mean 38.56 percent,Risk preference,risk_preference_experiment_report.md,Multi-Seed Robustness,results/ten_player_risk_preference_multi_seed_summary.md,ten_player_risk_preference_multi_seed.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Descriptive multi-seed summary.
C8,Edge seats were not wolf-heavy after randomization,Seer position,results/data_analysis/seer_position_game_level/analysis_report.md,Edge Seats Are Not Intrinsically Wolf-Heavy,results/ten_player_seer_position_randomized_roles_game_level_raw.csv,results/data_analysis/seer_position_game_level/analysis_reproducibility.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,"Chi-square p 0.281, Cramer's V 0.009."
C9,"Edge-first vs random adjusted OR 1.05, p 0.417",Seer position,results/data_analysis/seer_position_game_level/analysis_report.md,Adjusted Village-Win Model,results/ten_player_seer_position_randomized_roles_game_level_raw.csv,results/data_analysis/seer_position_game_level/analysis_reproducibility.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Formal analysis.
C10,"Alternate_sides vs random OR 1.161, Holm p 0.0552",Structured seer search,results/data_analysis/structured_seer_search/analysis_report.md,Strategy Comparison Model,results/structured_seer_search/structured_seer_search_game_level_raw.csv,results/data_analysis/structured_seer_search/analyze_structured_seer_search.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Promising but uncertain.
C11,Highest_p_wolf vs random Holm p 0.000276 harmful,Structured seer search,results/data_analysis/structured_seer_search/analysis_report.md,Strategy Comparison Model,results/structured_seer_search/structured_seer_search_game_level_raw.csv,results/data_analysis/structured_seer_search/analyze_structured_seer_search.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Statistically harmful.
C12,Seat-order-neutral label rows are deterministic duplicates,Seat-order neutral,results/data_analysis/seat_order_neutral/analysis_report.md,Data Validation and Label Invariance,results/seat_order_neutral/seat_order_neutral_game_level_raw.csv,results/data_analysis/seat_order_neutral/analysis_reproducibility.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Effective independent sample is lower than raw rows.
C13,Physical_clockwise vs random paired Holm p 0.0814,Seat-order neutral,results/data_analysis/seat_order_neutral/analysis_report.md,Paired Configuration Analysis,results/seat_order_neutral/seat_order_neutral_game_level_raw.csv,results/data_analysis/seat_order_neutral/analysis_reproducibility.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Promising but uncertain.
C14,Physical replay validation matched at 100 percent,Physical replay,results/physical_direction_replay/physical_direction_replay_experiment_report.md,Validation summaries,results/physical_direction_replay/supplied_action_replay_game_level_raw.csv,physical_direction_replay_experiment.py,e4e583387febd51dddc6330076db6f2a2a7532bc,verified_from_source,Engine symmetry validated.
