claim_id,claim_text,project_evidence_source,literature_source,claim_type,support_status,overclaim_risk,revision_needed,final_safe_wording
R7-C01,Every major project chapter has at least one literature mapping.,results/literature_synthesis_stage_r7/r7_finding_literature_comparison_matrix.csv,S001;S055,methodological claim,fully_supported,low,No revision needed.,Every major chapter is mapped to at least one cited source.
R7-C02,Financial analogies are conceptual rather than causal market claims.,results/literature_synthesis_stage_r7/r7_financial_analogy_crosswalk.csv,S029;S030;S058;S063,financial analogy,fully_supported,medium,Keep qualification.,"The financial analogy is a bounded conceptual framework, not a causal claim about real markets."
R7-C03,Low-information village weakness is consistent with hidden-role theory.,experiment_report.md,S001;S009,theoretical interpretation,fully_supported,low,No revision needed.,Low-information village weakness is consistent with partial-information hidden-role theory.
R7-C04,Trust-weighted voting is consistent with reputation-weighted aggregation.,results/targeted_strategy_stage_r61/r61_villager_policy_summary.csv,S019;S020;S021,theoretical interpretation,fully_supported,low,No revision needed.,Trust-weighted voting parallels reputation-weighted aggregation.
R7-C05,Herding can amplify error.,trust_weighted_herding_experiment.py outputs,S015;S016;S017,literature-derived claim,fully_supported,low,No revision needed.,Herding can amplify public errors when social signals overwhelm private evidence.
R7-C06,False accusation benefit is not causal market evidence.,stage3_experiment_report.md,S022;S024;S030,causal claim,requires_qualification,high,Use descriptive wording.,False accusation showed game-specific descriptive effects under simulated rules.
R7-C07,BoW template failure should be preserved.,results/bow_speech_stage_r2/bow_template_generalization_metrics.csv,S041;S042;S043,project empirical result,fully_supported,low,No revision needed.,BoW template failure is a central negative result and should not be hidden.
R7-C08,Live-policy failure outranks predictive performance.,results/ml_optimization_stage2a/; results/ml_optimization_stage2b/,S046;S047;S048;S050,methodological claim,fully_supported,low,No revision needed.,Matched live complete-game outcomes should outrank shadow predictive metrics for policy claims.
R7-C09,Immediate Seer reveal is promising but uncertain.,results/targeted_strategy_stage_r61/r61_seer_research_report.md,S011;S035;S036,project empirical result,fully_supported,medium,Keep uncertainty.,Immediate reveal is promising but uncertain because exposure costs remain material.
R7-C10,Witch aggressive_full is not globally optimal.,results/targeted_strategy_stage_r61/r61_witch_research_report.md,S057;S060;S064,project empirical result,fully_supported,medium,Keep pilot scope.,"Aggressive_full is the best tested pilot policy, not a globally optimal Witch policy."
R7-C11,Hunter reference conclusion is preserved.,results/targeted_strategy_stage_r61/r61_hunter_research_report.md,S060;S063,project empirical result,fully_supported,low,No revision needed.,Hunter reference remains the strongest tested policy under current evidence.
R7-C12,Random wolf kill and deep-cover harm are preserved.,results/targeted_strategy_stage_r61/r61_wolf_research_report.md,S002;S006;S030,project empirical result,fully_supported,low,No revision needed.,Random kill and deep-cover policy harm should remain in final evidence tables.
R7-C13,No global optimality is claimed.,results/role_strategy_synthesis_stage_r6/r6_research_report.md,S055;S057,methodological claim,fully_supported,low,No revision needed.,R7 does not claim global optimality for any strategy.
R7-C14,Mesa is not used in this implementation.,repository file inventory,S053;S055;S056,methodological claim,project_only,low,State as implementation scope.,The simulator is custom Python rather than Mesa-based.
