finding_id,project_chapter,project_finding,project_effect_or_result,evidence_grade,literature_domain,source_id,literature_claim,relationship,theoretical_explanation,disagreement_explanation,project_extension,limitation,citation_ready_sentence,source_report
F01,low_information_baseline,Low-information village performance was weak.,Stage 1 random baseline reported very high wolf win.,LEVEL 1 - descriptive pilot,social_deduction,S001,Mafia/Werewolf is a valid partial-information game model where informed minorities can dominate under low information.,consistent_with_literature,Low-information hidden-role environments favor the informed minority.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Theoretical abstraction differs from this simulator's role actions and speech machinery.,Low-information village performance was weak. This is consistent with literature relative to Mark Braverman (2008).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F01,low_information_baseline,Low-information village performance was weak.,Stage 1 random baseline reported very high wolf win.,LEVEL 1 - descriptive pilot,asymmetric_information,S009,Hidden-role games can be framed as incomplete-information games with subjective beliefs over types.,consistent_with_literature,Low-information hidden-role environments favor the informed minority.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"General theory, not a social-deduction simulation.",Low-information village performance was weak. This is consistent with literature relative to John C. Harsanyi (1967).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F01,low_information_baseline,Low-information village performance was weak.,Stage 1 random baseline reported very high wolf win.,LEVEL 1 - descriptive pilot,asymmetric_information,S010,Information asymmetry can produce adverse selection and motivates reputation or screening analogies.,consistent_with_literature,Low-information hidden-role environments favor the informed minority.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Market-quality model, not a game of voting or role inference.",Low-information village performance was weak. This is consistent with literature relative to George A. Akerlof (1970).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F02,information_and_speech,Structured speech substantially improved village outcomes.,Stage 2 speech-enabled village win improved descriptively.,LEVEL 1 - descriptive pilot,social_deduction,S005,"Conversational context helps identify deceptive actors, but deception detection remains hard.",consistent_with_literature,Communication can transmit useful signals when credibility is bounded.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Uses human Mafia dialogue, not generated DURF template speech.",Structured speech substantially improved village outcomes. This is consistent with literature relative to Samee Ibraheem (2022).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F02,information_and_speech,Structured speech substantially improved village outcomes.,Stage 2 speech-enabled village win improved descriptively.,LEVEL 1 - descriptive pilot,asymmetric_information,S011,Speech and reveal decisions can be interpreted as signals whose credibility matters.,consistent_with_literature,Communication can transmit useful signals when credibility is bounded.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Signaling model is economic and stylized; DURF signals are simulated speech acts.,Structured speech substantially improved village outcomes. This is consistent with literature relative to Michael Spence (1973).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F02,information_and_speech,Structured speech substantially improved village outcomes.,Stage 2 speech-enabled village win improved descriptively.,LEVEL 1 - descriptive pilot,herding_trust,S019,Speaker-specific trust memory is analogous to reputation scores used for later decisions.,consistent_with_literature,Communication can transmit useful signals when credibility is bounded.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Online service provision differs from hidden-role games.,Structured speech substantially improved village outcomes. This is consistent with literature relative to Audun Josang (2007).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,R6.1 Villager trust_weighted had best mean actor payoff.,LEVEL 4 - matched live validation pilot,herding_trust,S019,Speaker-specific trust memory is analogous to reputation scores used for later decisions.,consistent_with_literature,Reputation-weighted aggregation parallels trust and reputation systems.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Online service provision differs from hidden-role games.,Trust-weighted voting was the strongest tested Villager policy. This is consistent with literature relative to Audun Josang (2007).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,R6.1 Villager trust_weighted had best mean actor payoff.,LEVEL 4 - matched live validation pilot,herding_trust,S020,Trust records can support transactions among parties with asymmetric information.,consistent_with_literature,Reputation-weighted aggregation parallels trust and reputation systems.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Reputation is explicit transaction history, not inferred speech reliability.",Trust-weighted voting was the strongest tested Villager policy. This is consistent with literature relative to Paul Resnick (2002).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,R6.1 Villager trust_weighted had best mean actor payoff.,LEVEL 4 - matched live validation pilot,herding_trust,S021,Credibility costs and reputation mechanisms can discipline strategic misbehavior.,consistent_with_literature,Reputation-weighted aggregation parallels trust and reputation systems.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,"Pure moral hazard in markets, not public accusations in Werewolf.",Trust-weighted voting was the strongest tested Villager policy. This is consistent with literature relative to Chrysanthos Dellarocas (2005).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,R6.1 Villager trust_weighted had best mean actor payoff.,LEVEL 4 - matched live validation pilot,deception_misinformation,S025,Reputation-like quality signals can reduce misinformation exposure.,consistent_with_literature,Reputation-weighted aggregation parallels trust and reputation systems.,,DURF tests the idea in a controlled 10-player hidden-role simulator.,Crowd source ratings differ from game-level speaker memory.,Trust-weighted voting was the strongest tested Villager policy. This is consistent with literature relative to Gordon Pennycook (2019).,results/literature_synthesis_stage_r7/r7_project_finding_comparison_report.md
