source_id,title,screened,included,exclusion_reason,duplicate_of,quality_rating,notes
S001,Mafia: A theoretical study of players and coalitions in a partial information environment,yes,yes,,,A,"Formal Mafia model with hidden coalitions, communication, and relative power."
S002,Keeping the Story Straight: A Comparison of Commitment Strategies for a Social Deduction Game,yes,yes,,,A,Studies commitment and deception in One Night Ultimate Werewolf agents.
S003,A Study of AI Agent Commitment in One Night Ultimate Werewolf with Human Players,yes,yes,,,A,Human-agent social deduction experiment on commitment and player perception.
S004,AI Wolf Contest: Development of Game AI Using Collective Intelligence,yes,yes,,,B,Introduces AIWolf as a Werewolf AI platform and competition.
S005,Putting the Con in Context: Identifying Deceptive Actors in the Game of Mafia,yes,yes,,,A,Text-based Mafia role and deception detection.
S006,Finding Friend and Foe in Multi-Agent Games,yes,yes,,,A,DeepRole hidden-role Avalon agent with belief reasoning.
S007,Long-Horizon Dialogue Understanding for Role Identification in the Game of Avalon with Large Language Models,yes,yes,,,A,Long-horizon deception and role identification in Avalon dialogue.
S008,Hidden Agenda: A Social Deduction Game with Diverse Learned Equilibria,yes,yes,,,C,Learned equilibria in a spatial social deduction environment.
S009,"Games with Incomplete Information Played by Bayesian Players, I-III. Part I. The Basic Model",yes,yes,,,A,Foundational Bayesian games under incomplete information.
S010,The Market for Lemons: Quality Uncertainty and the Market Mechanism,yes,yes,,,A,Canonical asymmetric-information market model.
S011,Job Market Signaling,yes,yes,,,A,Foundational signaling model.
S012,Strategic Information Transmission,yes,yes,,,A,Canonical cheap-talk model with sender-receiver preference divergence.
S013,Formulation of Bayesian Analysis for Games with Incomplete Information,yes,yes,,,A,Formal belief hierarchies for incomplete-information games.
S014,Sequential Equilibria,yes,yes,,,A,Equilibrium concept for dynamic games with beliefs.
S015,A Simple Model of Herd Behavior,yes,yes,,,A,Canonical sequential herding model.
S016,"A Theory of Fads, Fashion, Custom, and Cultural Change as Informational Cascades",yes,yes,,,A,Foundational informational-cascade theory.
S017,Opinions and Social Pressure,yes,yes,,,B,Classic conformity experiment summary.
S018,The Wisdom of Crowds,yes,yes,,,C,Popular synthesis of collective intelligence conditions.
S019,A Survey of Trust and Reputation Systems for Online Service Provision,yes,yes,,,B,Trust/reputation system survey.
S020,Trust Among Strangers in Internet Transactions: Empirical Analysis of eBay's Reputation System,yes,yes,,,B,Empirical reputation-system evidence.
S021,Reputation Mechanism Design in Online Trading Environments with Pure Moral Hazard,yes,yes,,,B,Reputation design under opportunistic behavior.
S022,The Spread of True and False News Online,yes,yes,,,A,Large-scale empirical misinformation diffusion study.
S023,The Science of Fake News,yes,yes,,,B,Research agenda for fake news and interventions.
S024,Social Media and Fake News in the 2016 Election,yes,yes,,,B,Economic framing of fake news consumption and belief.
