stage_id,decision_id,decision_order,hypothesis_timing,candidate_space,primary_outcome_observed_or_used,selection_process,post_selection_risk,source_artifact,confirmatory_status,audit_note
stage1,baseline_random_voting,1,Exploratory,random baseline,wolf/village win rate,pilot outcome inspection,high,results/ablation_results.csv,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
stage2,speech_and_belief_mechanisms,2,Exploratory,"speech, p_wolf, herding, role prior",village win rate,sequential ablation,high,results/ablation_results.csv,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
stage3,wolf_deception_policy_family,3,Exploratory,"mixed, false_accuse, deflect, role_claim",wolf win rate,strategy sweep,high,wolf_deception_experiment.py,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
stage3,credibility_costs_added_after_deception,4,Exploratory correction,accusation and self-defense costs,wolf deception win rate,mechanism rescue after diagnosis,high,deception_credibility.py,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
stage4,speaker_memory_weight_sweep,5,Exploratory,trust_vote_weight values,village win rate,threshold sweep,high,speaker_memory_sensitivity.py,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
stage4,trust_weighted_speech_and_herding,6,Exploratory,trust-weighted speech/herding toggles,wolf/village win rate,configuration comparison,high,trust_weighted_herding_experiment.py,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
position,seat_role_randomization,7,Confirmatory validation,seat folklore vs randomized roles,first-check wolf rate and win rate,multi-seed randomized-role test,moderate,results/ten_player_seer_position_randomized_roles_game_level_raw.csv,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
structured_seer,structured_search_strategies,8,Confirmatory after preregistration,fixed seer search policies,first-check and village win metrics,multi-seed game-level analysis,moderate,results/structured_seer_search/structured_seer_search_game_level_raw.csv,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
symmetry,seat_order_neutral_engine,9,Validation,mirror and neutral engine checks,physical-action equivalence,replay/symmetry validation,low,results/seat_order_neutral_engine,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
ml1,offline_ml_surrogate_models,10,Exploratory diagnostic,identity/action-value models,AUC/regret/shadow metrics,offline model selection,high,results/ml_optimization_stage1,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
ml15,full_rollout_offline_ml,11,Exploratory diagnostic,shadow policy comparisons,surrogate validity,full-rollout diagnostics,high,results/ml_optimization_stage15,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
ml2a,frozen_wolf_kill_ml,12,Confirmatory negative,frozen ML wolf-kill policy,village win rate,live matched rollout,moderate,results/ml_optimization_stage2a,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
ml2b,offline_trained_live_voter_ml,13,Confirmatory negative/diagnostic,frozen vote override,village win rate,live matched rollout,moderate,results/ml_optimization_stage2b,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r2,formal_bow_speech,14,Exploratory diagnostic,lexicon/vector models,role/intent AUC,held-out utterance split,moderate,results/bow_speech_stage_r2,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r3,guarded_bow_live_integration,15,Confirmatory negative,guarded BoW policies,village win rate,matched game-level contrast,moderate,results/bow_integration_stage_r3,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r4,unified_payoff_manifest,16,Method validation,core and extended payoff specs,payoff ledger validity,manifest freeze,low,results/payoff_matrix_stage_r4/r4_payoff_manifest.json,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r5,financial_risk_metrics,17,Method validation,risk/return analogues,role payoff metrics,bootstrap and sensitivity,moderate,results/financial_risk_stage_r5,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r51,role_strategy_attribution_audit,18,Correction,actor-specific mapping,valid strategy payoff attribution,mapping audit,low,results/financial_risk_stage_r51,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r6,role_strategy_synthesis,19,Synthesis,cross-stage role strategy evidence,evidence grade,descriptive synthesis,moderate,results/role_strategy_synthesis_stage_r6,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r61,targeted_missing_strategy_experiments,20,Pre-registered targeted,30 role policies,actor payoff and win rate,matched multi-seed design,moderate,results/targeted_strategy_stage_r61,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r62,metrics_integrity_audit,21,Validation,"seer survival, witch potion lifecycle",metric validity,raw lifecycle reconstruction,low,results/metrics_integrity_stage_r62,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r7,literature_comparison,22,Contextual synthesis,literature support matrix,claim support,manual source screening,moderate,results/literature_synthesis_stage_r7,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r71,doi_recency_literature_audit,23,Correction,DOI and recency filters,source validity,source audit,low,results/literature_doi_recency_audit_stage_r71,auditable,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
r8,final_integrated_analysis,24,Synthesis with post-selection risk,integrated final evidence,final recommendation labels,integrated table selection,high,results/final_integrated_analysis_stage_r8,exploratory_or_selection_sensitive,"Recorded retrospectively in R8.1; use for transparency, not as a preregistration."
