document_frequency,in_core_lexicon,ngram_order,source_split,token,total_count,vocabulary_rank
9590,False,1,train,player_target,9590,1
4723,True,1,train,vote,4723,2
3415,False,1,train,me,3415,3
2901,True,1,train,because,2901,4
2789,False,1,train,their,2789,5
2660,False,1,train,has,2660,6
2448,True,1,train,trust,2448,7
2410,False,1,train,can,2410,8
2311,True,1,train,plan,2311,9
2189,True,1,train,now,2189,10
2176,False,2,train,player_target__because,2176,11
2023,True,1,train,not,2023,12
1864,True,1,train,push,1864,13
1846,True,1,train,pattern,1846,14
1841,False,1,train,before,1841,15
1818,False,1,train,exclamation,1818,16
1814,False,2,train,player_target__exclamation,1814,17
1809,True,1,train,reason,1809,18
1791,False,1,train,am,1791,19
1788,True,1,train,wolf,1788,20
1763,False,1,train,against,1763,21
1648,True,1,train,question,1648,22
1524,False,2,train,trust__player_target,1524,23
1521,False,1,train,been,1521,24
1521,False,2,train,been__clear,1521,25
1521,True,1,train,clear,1521,26
1521,True,1,train,follow,1521,27
1521,False,2,train,has__been,1521,28
1521,False,2,train,now__their,1521,29
1521,False,2,train,player_target__now,1521,30
1521,False,1,train,reasoning,1521,31
1521,False,2,train,reasoning__has,1521,32
1521,False,2,train,their__reasoning,1521,33
1520,False,2,train,because__plan,1520,34
1520,False,2,train,can__follow,1520,35
1520,False,2,train,follow__player_target,1520,36
1520,False,2,train,plan__reasonable,1520,37
1520,False,1,train,reasonable,1520,38
1423,False,1,train,player_other,1423,39
1421,True,1,train,evidence,1421,40
1363,True,1,train,pressure,1363,41
1312,False,1,train,better,1312,42
1180,False,1,train,should,1180,43
1112,True,1,train,claim,1112,44
1100,False,1,train,history,1100,45
1100,False,2,train,vote__history,1100,46
1080,True,1,train,story,1080,47
1043,False,2,train,push__me,1043,48
1011,False,2,train,because__their,1011,49
1011,True,1,train,record,1011,50
982,False,1,train,looks,982,51
924,False,1,train,read,924,52
924,False,2,train,read__player_target,924,53
924,False,2,train,should__trust,924,54
924,False,2,train,trust__read,924,55
924,True,1,train,why,924,56
924,False,2,train,why__should,924,57
893,False,2,train,not__wolf,893,58
890,False,2,train,against__player_target,890,59
890,False,2,train,can__someone,890,60
890,False,2,train,evidence__against,890,61
890,True,1,train,explain,890,62
890,False,2,train,explain__evidence,890,63
890,False,1,train,someone,890,64
890,False,2,train,someone__explain,890,65
888,False,2,train,before__vote,888,66
888,False,2,train,me__noise,888,67
888,True,1,train,noise,888,68
888,False,2,train,noise__question,888,69
888,False,2,train,question__reason,888,70
888,False,2,train,reason__before,888,71
873,False,2,train,against__me,873,72
873,False,2,train,am__not,873,73
873,False,1,train,case,873,74
873,False,2,train,case__against,873,75
873,False,2,train,me__misread,873,76
873,True,1,train,misread,873,77
873,False,2,train,wolf__case,873,78
824,False,2,train,claim__sounds,824,79
824,True,1,train,counterclaim,824,80
824,False,2,train,counterclaim__story,824,81
824,True,1,train,fake,824,82
824,False,2,train,fake__counterclaim,824,83
824,True,1,train,role,824,84
824,False,2,train,role__claim,824,85
