game_entity_or_action,financial_analogue,supporting_literature,shared_mechanism,important_difference,safe_interpretation,overclaim_to_avoid
Villager,retail investor,S024;S029;S037,limited information and vulnerability to narratives,Villagers vote to eliminate roles; investors allocate capital,Use as a bounded analogy for uninformed decision makers,Do not claim villagers literally model retail investors
Seer,informed trader / analyst,S035;S036;S011,private signal acquisition and disclosure timing,"Seer information is true role identity, unlike noisy market research",Information premium is a game payoff analogue,Do not claim insider-trading equivalence
Witch,regulator / intervention authority,S047;S060;S063,rare intervention with false-positive and false-negative costs,"Witch is a player with team incentives, unlike external regulators",Potion use illustrates intervention timing and waste,Do not infer policy-regulation conclusions
Hunter,leveraged or high-impact actor,S060;S061;S064,irreversible action with tail-risk concentration,Hunter death shot is discrete and game-rule bounded,Useful for explaining downside risk,Do not call Hunter a financial instrument
Werewolf,market manipulator,S030;S022;S024,strategic misinformation and exploitation of trust,Werewolves have hidden team identity and terminal win conditions,Manipulation premium is conceptual and game-specific,Do not claim causal market manipulation evidence
public speech,market narrative / disclosure,S011;S012;S037,signals shape beliefs and later actions,Speech is generated in a controlled template system,Use as a narrative-signal analogy,Do not equate template speech with natural market news
false accusation,false rumor or misleading signal,S022;S023;S024,false claims can alter beliefs and cascade,Accusations are game-targeted and immediately logged,Use to illustrate adversarial communication,Do not imply real rumor law or regulation
trust score,reputation or signal credibility,S019;S020;S021;S025,past reliability changes future influence,"Trust scores are symmetric model variables, not human reputation",Speaker memory maps to reputation-weighted aggregation,Do not overclaim psychological realism
herding,correlated investor behavior,S015;S016;S032;S033,public action can override private signal,"DURF votes are eliminations, not trades",Use for information-cascade mechanics,Do not claim observed market herding
reveal timing,information disclosure timing,S011;S035;S036,timing changes signal value and exposure,Seer reveal may provoke night kill,Frame as information-release timing tradeoff,Do not claim public-company disclosure equivalence
poison/save,intervention decision,S047;S060;S063,limited intervention resource and false-positive cost,Potion effects are deterministic game rules,Use as intervention option-value analogy,Do not call it central-bank policy
vote coordination,coordinated market pressure,S015;S030;S032,coordinated actions can move collective outcome,Votes directly determine elimination,Use as group-action analogy,Do not claim price-pressure dynamics
payoff volatility,strategic return variability,S058;S062;S063,variance around expected payoff,Payoffs are game-defined utilities,Use as a risk-return summary,Do not call payoffs monetary returns
Sharpe-like ratio,risk-adjusted game payoff,S058;S059,mean reward per unit volatility/downside risk,No risk-free rate or tradable asset exists,Use only with like-for-like game payoffs,Do not present as financial Sharpe ratio
information premium,payoff associated with useful private information,S035;S036,private information can improve returns,Project premium can be outcome-dependent,Use as descriptive game-payoff association,Do not call it causal without randomized design
manipulation premium,payoff associated with successful manipulation,S030;S022;S024,manipulation can exploit others' beliefs,Sample imbalance and role mechanics matter,Use as bounded descriptive analogue,Do not claim market manipulation premium is measured
