figure_id,figure_name,svg_path,png_path,chart_family,primary_measure,source_data,final_report_use
F_R8_01,Evidence conclusion distribution,results/final_integrated_analysis_stage_r8/figures/figure_01.svg,results/final_integrated_analysis_stage_r8/figures/figure_01.png,horizontal_bar,count,r8_final_statistical_evidence_table.csv,overview
F_R8_02,Role mean payoff,results/final_integrated_analysis_stage_r8/figures/figure_02.svg,results/final_integrated_analysis_stage_r8/figures/figure_02.png,horizontal_bar,mean payoff,r5_role_expected_payoff_summary.csv,payoff
F_R8_03,Role payoff volatility,results/final_integrated_analysis_stage_r8/figures/figure_03.svg,results/final_integrated_analysis_stage_r8/figures/figure_03.png,horizontal_bar,stdev,r5_role_expected_payoff_summary.csv,payoff
F_R8_04,Role downside deviation,results/final_integrated_analysis_stage_r8/figures/figure_04.svg,results/final_integrated_analysis_stage_r8/figures/figure_04.png,horizontal_bar,downside deviation,r5_role_expected_payoff_summary.csv,risk
F_R8_05,Role Sharpe-like ratio,results/final_integrated_analysis_stage_r8/figures/figure_05.svg,results/final_integrated_analysis_stage_r8/figures/figure_05.png,horizontal_bar,Sharpe-like,r5_role_expected_payoff_summary.csv,risk
F_R8_06,Role CVaR95-like loss,results/final_integrated_analysis_stage_r8/figures/figure_06.svg,results/final_integrated_analysis_stage_r8/figures/figure_06.png,horizontal_bar,CVaR95-like,r5_role_expected_payoff_summary.csv,risk
F_R8_07,R6.1 strongest role policies,results/final_integrated_analysis_stage_r8/figures/figure_07.svg,results/final_integrated_analysis_stage_r8/figures/figure_07.png,horizontal_bar,mean actor payoff,r8_final_role_strategy_table.csv,strategy
F_R8_08,Villager policy village win rate,results/final_integrated_analysis_stage_r8/figures/figure_08.svg,results/final_integrated_analysis_stage_r8/figures/figure_08.png,horizontal_bar,village win rate,r61_villager_policy_summary.csv,strategy
F_R8_09,Seer policy village win rate,results/final_integrated_analysis_stage_r8/figures/figure_09.svg,results/final_integrated_analysis_stage_r8/figures/figure_09.png,horizontal_bar,village win rate,r61_seer_policy_summary.csv,strategy
F_R8_10,Witch policy village win rate,results/final_integrated_analysis_stage_r8/figures/figure_10.svg,results/final_integrated_analysis_stage_r8/figures/figure_10.png,horizontal_bar,village win rate,r61_witch_policy_summary.csv,strategy
F_R8_11,Werewolf policy wolf win rate,results/final_integrated_analysis_stage_r8/figures/figure_11.svg,results/final_integrated_analysis_stage_r8/figures/figure_11.png,horizontal_bar,wolf win rate,r61_wolf_policy_summary.csv,strategy
F_R8_12,Hunter policy village win rate,results/final_integrated_analysis_stage_r8/figures/figure_12.svg,results/final_integrated_analysis_stage_r8/figures/figure_12.png,horizontal_bar,village win rate,r61_hunter_policy_summary.csv,strategy
F_R8_13,BoW offline AUC,results/final_integrated_analysis_stage_r8/figures/figure_13.svg,results/final_integrated_analysis_stage_r8/figures/figure_13.png,horizontal_bar,ROC-AUC,r8_speech_bow_final_table.csv,speech
F_R8_14,BoW live policy effect,results/final_integrated_analysis_stage_r8/figures/figure_14.svg,results/final_integrated_analysis_stage_r8/figures/figure_14.png,horizontal_bar,village win-rate pp,r8_speech_bow_final_table.csv,speech
F_R8_15,ML live policy effect,results/final_integrated_analysis_stage_r8/figures/figure_15.svg,results/final_integrated_analysis_stage_r8/figures/figure_15.png,horizontal_bar,wolf win-rate change,r8_ml_final_table.csv,ml
F_R8_16,Randomized-role seer strategies,results/final_integrated_analysis_stage_r8/figures/figure_16.svg,results/final_integrated_analysis_stage_r8/figures/figure_16.png,horizontal_bar,village win rate,structured_seer_search_strategy_summary.csv,seer
F_R8_17,Proposal completion,results/final_integrated_analysis_stage_r8/figures/figure_17.svg,results/final_integrated_analysis_stage_r8/figures/figure_17.png,horizontal_bar,count,r8_proposal_completion_matrix.csv,proposal
F_R8_18,R9 readiness,results/final_integrated_analysis_stage_r8/figures/figure_18.svg,results/final_integrated_analysis_stage_r8/figures/figure_18.png,horizontal_bar,pass count,r8_r9_readiness_summary.csv,readiness
