registry_id,mechanism_family,variant_values,variant_count,primary_outcome_used,source_stage,search_type,selection_bias_risk,audit_interpretation
SSR_01,Villager voting,random_vote; suspicion_only; p_wolf_only; trust_weighted; guarded_herding; reference,6,actor payoff; village win,R6.1,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_02,Seer reveal,private_only; immediate_reveal; reveal_first_wolf; delayed_round_2; under_threat; selective_useful_info,6,actor payoff; exposure,R6.1/R6.2,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_03,Witch joint policy,reference; aggressive_full; save_aggressive_poison_conservative; save_conservative_poison_aggressive; conservative_full; risk_balanced,6,actor payoff; potion waste,R6.1/R6.2,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_04,Hunter shot policy,reference; random_shot; no_shot; highest_suspicion; highest_p_wolf; conservative_threshold,6,actor payoff; shot accuracy,R6.1,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_05,Wolf aggression/deception,reference; aggressive_false_accuse; aggressive_kill_restrained_deception; threat_adaptive; deep_cover; minimal_deception,6,wolf actor payoff; village win,R6.1,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_06,Wolf night strategy,random; threat_based; seer_first; witch_first; avoid_hunter; low_suspicion,6,wolf/village win,wolf_strategy_diagnostics,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_07,Wolf deception type,mixed; false_accuse; false_defend; false_role_claim; deflect_suspicion; trust_building; adaptive,7,wolf/village win,Stage 3,manual/sequential,high,Do not treat the observed best variant as a global optimum without independent replication.
SSR_08,Witch poison threshold,0.00;0.05;0.10;0.15;0.20;0.25;0.30;0.50;0.60;0.70;0.90;1.10,12,wolf/village win; poison count,Stage 1/2 sweep,manual/sequential,high,Do not treat the observed best variant as a global optimum without independent replication.
SSR_09,Speaker memory trust vote weight,0.00;0.05;0.10;0.20;0.30;0.40,6,wolf/village win; trust updates,Stage 4,manual/sequential,high,Do not treat the observed best variant as a global optimum without independent replication.
SSR_10,Trust-weighted herding toggles,vote_only; trust_weighted_speech; trust_weighted_herding; both,4,wolf/village win,Stage 4,manual/sequential,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_11,Risk preference regimes,trust_memory; risk_mixed; conservative_majority; aggressive_majority; credibility_cost; deception variants,8,wolf/village win; payoff by risk type,risk_preference,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_12,Seer position strategy,random; edge_first; inner_first; left_first; right_first; same_side; opposite_side,7,first-check wolf rate; win rate,position_randomized_roles,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_13,Structured seer search,deterministic and stochastic search-path policies,1,wolves discovered; village win,structured_seer_search,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_14,BoW model family,scores_only; full_vector; intent; feature_ablation; guarded_live; structured_bow_guarded_live,6,AUC; live village win,R2/R3,targeted or audited,high,Do not treat the observed best variant as a global optimum without independent replication.
SSR_15,ML policy family,offline value; identity; shadow; frozen hybrid; selective override,5,AUC; regret; live win,ML1-ML2B,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_16,Payoff coefficient family,core; extended; 0.75x;1.00x;1.25x; special penalties,9,role strategy rank,R4/R5/R8.1,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
SSR_17,Literature source inclusion,foundational exceptions; DOI-verified; recency-prioritized replacements,3,claim support status,R7/R7.1,targeted or audited,moderate,Do not treat the observed best variant as a global optimum without independent replication.
