original_source_id,original_citation_key,original_title,original_year,original_doi_status,replacement_source_id,replacement_citation_key,replacement_title,replacement_year,replacement_doi,replacement_doi_url,replacement_peer_reviewed,replacement_recent,replacement_reason,final_action
S006,serrino2019friend,Finding Friend and Foe in Multi-Agent Games,2019,no_doi,S007,stepputtis2023avalon,Long-Horizon Dialogue Understanding for Role Identification in the Game of Avalon with Large Language Models,2023,10.18653/v1/2023.findings-emnlp.748,https://doi.org/10.18653/v1/2023.findings-emnlp.748,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S008,kopparapu2022hidden,Hidden Agenda: A Social Deduction Game with Diverse Learned Equilibria,2022,no_doi,S002,eger2018story,Keeping the Story Straight: A Comparison of Commitment Strategies for a Social Deduction Game,2018,10.1609/aiide.v14i1.13015,https://doi.org/10.1609/aiide.v14i1.13015,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S018,surowiecki2004wisdom,The Wisdom of Crowds,2004,no_doi,S079,toyokawa2019social,Social learning strategies regulate the wisdom and madness of interactive crowds,2019,10.1038/s41562-018-0518-x,https://doi.org/10.1038/s41562-018-0518-x,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S027,peskov2020lie,"It Takes Two to Lie: One to Lie, and One to Listen",2020,no_doi,S005,ibraheem2022con,Putting the Con in Context: Identifying Deceptive Actors in the Game of Mafia,2022,10.18653/v1/2022.naacl-main.11,https://doi.org/10.18653/v1/2022.naacl-main.11,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S033,lakonishok1992institutional,The Impact of Institutional Trading on Stock Prices,1992,no_doi,S073,cookson2023echo,Echo Chambers,2023,10.1093/rfs/hhac058,https://doi.org/10.1093/rfs/hhac058,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S037,shiller2000irrational,Irrational Exuberance,2000,no_doi,S077,loughran2020textual,Textual Analysis in Finance,2020,10.1146/annurev-financial-012820-032249,https://doi.org/10.1146/annurev-financial-012820-032249,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S038,manning2008ir,Introduction to Information Retrieval,2008,no_doi,S068,minaee2021textclassification,Deep Learning--based Text Classification: A Comprehensive Review,2021,10.1145/3439726,https://doi.org/10.1145/3439726,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S039,mccallum1998event,A Comparison of Event Models for Naive Bayes Text Classification,1998,no_doi,S068,minaee2021textclassification,Deep Learning--based Text Classification: A Comprehensive Review,2021,10.1145/3439726,https://doi.org/10.1145/3439726,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S041,blitzer2006domain,Domain Adaptation with Structural Correspondence Learning,2006,no_doi,S065,geirhos2020shortcut,Shortcut learning in deep neural networks,2020,10.1038/s42256-020-00257-z,https://doi.org/10.1038/s42256-020-00257-z,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
S044,koh2021wilds,WILDS: A Benchmark of in-the-Wild Distribution Shifts,2021,no_doi,S065,geirhos2020shortcut,Shortcut learning in deep neural networks,2020,10.1038/s42256-020-00257-z,https://doi.org/10.1038/s42256-020-00257-z,yes,True,DOI-verified source with closer final-bibliography eligibility.,replace_or_exclude_original
