stage_id,experiment_id,research_question,experiment_type,role_or_mechanism,policies_or_conditions,raw_game_rows,unique_games,matched_sets,seeds,regimes,player_rows,event_rows,utterance_rows,rollout_rows,candidate_rows,independent_unit,primary_outcome,secondary_outcomes,formal_inference,multiplicity_method,manifest_or_hash,source_report,source_data,evidence_status,included_in_final_analysis,exclusion_reason,notes
stage1_stage2_ablation,ablation_baseline_to_mechanisms,RQ2,single-seed descriptive ablation,"core roles, speech, seer, witch, hunter, deception, trust",15 ablation rows,summary_only,not_reported,not_applicable,1,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,condition-level descriptive summary,wolf/village win rate,"events, role-action counts",no,not_applicable,not_applicable,results/experiment_results.md,results/ablation_results.csv,descriptive_only,yes_qualified,not_applicable,Early single-seed summary; later role-specific stages supersede strategy claims.
stage4_speaker_memory,speaker_memory_sensitivity,RQ2,single-seed sensitivity,speaker memory and trust-weighted voting,trust_vote_weight sweep,summary_only,3000 reported in sensitivity output,not_reported,1,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,complete game summary,village win rate,trust updates,no,not_applicable,not_applicable,stage4_experiment_report.md,speaker_memory_sensitivity.py output summarized in stage4_experiment_report.md,descriptive_only,yes_qualified,not_applicable,Superseded for role-specific strategy conclusions by R6/R6.1.
ten_player_risk_preference,risk_preference_multi_seed,RQ5,multi-seed summary,risk preference,8 risk-preference conditions,summary_only,20000,not_reported,5,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,seed-condition summary of complete games,wolf/village win rate,risk-preference payoff by type,descriptive multi-seed,not_applicable,not_applicable,risk_preference_experiment_report.md,results/ten_player_risk_preference_multi_seed_raw.csv,promising_but_uncertain,yes_qualified,not_applicable,"Useful robustness context, not a final role-owned strategy test."
seer_position_randomized_roles,randomized_role_seer_position,RQ5,multi-seed complete games,seer position and seat-role randomization,7 seer-check conditions,17500,17500,not_reported,5,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,complete game,village win rate,"first-check wolf rate, seer survival, seat role balance",yes,Holm where applicable,not_applicable,seer_position_randomized_roles_report.md,results/ten_player_seer_position_randomized_roles_game_level_raw.csv,hypothesis_rejected_for_edge_folklore,yes,not_applicable,Randomized roles remove fixed seat-role confounds.
structured_seer_search,structured_seer_search,RQ2;RQ5,multi-seed strategy comparison,seer search strategy,14 search strategies,35000,35000,not_applicable,5,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,complete game,village win rate,wolf discovery and path diversity,yes,Holm,not_applicable,results/data_analysis/structured_seer_search/analysis_report.md,results/structured_seer_search/structured_seer_search_game_level_raw.csv,mixed,yes,not_applicable,Diversified search was promising; behavioral exploitation strategies were harmful.
seat_order_neutral,seat_label_and_direction_validation,RQ5,deterministic duplicate and paired validation,engine label/direction artifacts,"normal, mirrored, rotated labels and directional strategies",30000,30000,10000,5,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,matched physical configuration,label-invariance divergence rate,paired village win differences,yes after duplicate collapse,Holm,not_applicable,results/data_analysis/seat_order_neutral/analysis_report.md,results/seat_order_neutral/seat_order_neutral_game_level_raw.csv,engine_symmetry_validated,yes,not_applicable,Displayed-label duplicates are not independent observations.
physical_direction_replay,supplied_action_and_mirror_replay,RQ5,supplied-action replay validation,physical direction symmetry,"exact replay, physical mirror, strategy mirror",1000,1000,1000,not_central,not_reported,not_reported,not_reported,not_reported,not_applicable,not_applicable,replay pair,replay match rate,mirror divergence count,deterministic validation,not_applicable,not_applicable,results/physical_direction_replay/physical_direction_replay_experiment_report.md,results/physical_direction_replay/supplied_action_replay_summary.csv,engine_symmetry_validated,yes,not_applicable,"Replay rows validate engine behavior, not strategic superiority."
bow_stage_r2,formal_bow_speech_quantification,RQ1,predictive and descriptive speech analysis,Bag-of-Words speech signals,"lexicon, scores, role prediction, template generalization",not_applicable,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,32721,not_applicable,387934,utterance and grouped game/template splits,role-prediction ROC-AUC,template OOD AUC and leakage checks,predictive validation,not_applicable,bow vocabulary and score manifests,results/bow_speech_stage_r2/bow_stage_r2_research_report.md,results/bow_speech_stage_r2/bow_role_prediction_metrics.csv,template_bound_predictive_success,yes,not_applicable,Utterances are not independent game outcomes.
bow_stage_r3,guarded_bow_live_integration,RQ1;RQ4,matched live policy integration,BoW-guided voting/belief updates,7 live BoW conditions,11550,11550,1650,not_reported,10,not_reported,194810,228471,10000,not_applicable,matched complete game set,village win rate,"belief updates, vote disagreements, rollout diagnostics",yes,Holm,R3 BoW policy manifests,results/bow_integration_stage_r3/r3_research_report.md,results/bow_integration_stage_r3/r3_primary_game_contrasts.csv,statistically_supported_harm_or_no_improvement,yes,not_applicable,Predictive BoW value did not imply live policy value.
ml_stage1,observation_safe_ml_pilot,RQ4,pilot prediction and action-value analysis,ML candidate scoring,identity prediction and rollout pilot,not_reported,not_reported,not_applicable,not_reported,not_reported,not_reported,not_reported,not_applicable,not_reported,7155,"decision states or game families, not candidate rows",ROC-AUC,surrogate action value,pilot only,not_applicable,not_applicable,results/ml_optimization_stage1/ml_stage1_research_report.md,results/ml_optimization_stage1/ml_identity_prediction_dataset.csv,superseded,yes_as_superseded,not_applicable,Pilot AUC was later reduced by grouped validation.
