seed,seed_split,original_usage,used_for_policy_development,used_for_r61_final_inference,used_for_r8_recommendation_selection,reuse_classification,raw_gameplay_leakage,audit_note
500,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
501,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
502,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
503,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
504,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
505,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
506,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
507,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
508,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
509,development,policy design only,True,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
510,validation,smoke validation only,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
511,validation,smoke validation only,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
512,validation,smoke validation only,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
513,validation,smoke validation only,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
514,validation,smoke validation only,False,False,False,development_or_diagnostic,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
520,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
521,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
522,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
523,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
524,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
525,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
526,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
527,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
528,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
529,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
530,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
531,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
532,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
533,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
534,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
535,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
536,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
537,final_evaluation,formal matched inference,False,True,True,post_test_model_or_policy_selection,False,R8 reuse affects recommendation selection but does not imply hidden-role or gameplay leakage.
