matched_set_id,seed,seed_split,behavioral_regime,replicate_index,game_seed
r82_seed820_baseline_rep01,820,r82_independent_replication,baseline,1,68768458973714
r82_seed820_baseline_rep02,820,r82_independent_replication,baseline,2,97440423380426
r82_seed820_baseline_rep03,820,r82_independent_replication,baseline,3,114047955539258
r82_seed820_baseline_rep04,820,r82_independent_replication,baseline,4,144494444715288
r82_seed820_baseline_rep05,820,r82_independent_replication,baseline,5,28372151666691
r82_seed820_speech_enabled_rep01,820,r82_independent_replication,speech_enabled,1,269423230550261
r82_seed820_speech_enabled_rep02,820,r82_independent_replication,speech_enabled,2,258245955092747
r82_seed820_speech_enabled_rep03,820,r82_independent_replication,speech_enabled,3,195212086550844
r82_seed820_speech_enabled_rep04,820,r82_independent_replication,speech_enabled,4,52811938287745
r82_seed820_speech_enabled_rep05,820,r82_independent_replication,speech_enabled,5,247978998283749
r82_seed820_herding_enabled_rep01,820,r82_independent_replication,herding_enabled,1,40475994639259
r82_seed820_herding_enabled_rep02,820,r82_independent_replication,herding_enabled,2,85529601745617
r82_seed820_herding_enabled_rep03,820,r82_independent_replication,herding_enabled,3,281474833540748
r82_seed820_herding_enabled_rep04,820,r82_independent_replication,herding_enabled,4,238552406038033
r82_seed820_herding_enabled_rep05,820,r82_independent_replication,herding_enabled,5,83518354036537
r82_seed820_deception_enabled_rep01,820,r82_independent_replication,deception_enabled,1,261453432741226
r82_seed820_deception_enabled_rep02,820,r82_independent_replication,deception_enabled,2,254028472907016
r82_seed820_deception_enabled_rep03,820,r82_independent_replication,deception_enabled,3,210499478271702
r82_seed820_deception_enabled_rep04,820,r82_independent_replication,deception_enabled,4,100568376259547
r82_seed820_deception_enabled_rep05,820,r82_independent_replication,deception_enabled,5,225458072223692
r82_seed820_heterogeneous_risk_rep01,820,r82_independent_replication,heterogeneous_risk,1,163335578973517
r82_seed820_heterogeneous_risk_rep02,820,r82_independent_replication,heterogeneous_risk,2,123967329481979
r82_seed820_heterogeneous_risk_rep03,820,r82_independent_replication,heterogeneous_risk,3,224735984470406
r82_seed820_heterogeneous_risk_rep04,820,r82_independent_replication,heterogeneous_risk,4,247148723586715
r82_seed820_heterogeneous_risk_rep05,820,r82_independent_replication,heterogeneous_risk,5,89366739384813
r82_seed820_strong_village_information_rep01,820,r82_independent_replication,strong_village_information,1,244834523620758
r82_seed820_strong_village_information_rep02,820,r82_independent_replication,strong_village_information,2,122326961045510
r82_seed820_strong_village_information_rep03,820,r82_independent_replication,strong_village_information,3,98630465601400
r82_seed820_strong_village_information_rep04,820,r82_independent_replication,strong_village_information,4,144225040046555
r82_seed820_strong_village_information_rep05,820,r82_independent_replication,strong_village_information,5,36664363346924
r82_seed820_weak_village_information_rep01,820,r82_independent_replication,weak_village_information,1,33827485986113
r82_seed820_weak_village_information_rep02,820,r82_independent_replication,weak_village_information,2,169911404089979
r82_seed820_weak_village_information_rep03,820,r82_independent_replication,weak_village_information,3,215956384417163
r82_seed820_weak_village_information_rep04,820,r82_independent_replication,weak_village_information,4,126897739570015
r82_seed820_weak_village_information_rep05,820,r82_independent_replication,weak_village_information,5,249651744268382
r82_seed820_high_emotional_speech_rep01,820,r82_independent_replication,high_emotional_speech,1,69028119466859
r82_seed820_high_emotional_speech_rep02,820,r82_independent_replication,high_emotional_speech,2,56562004697610
r82_seed820_high_emotional_speech_rep03,820,r82_independent_replication,high_emotional_speech,3,137106430786186
r82_seed820_high_emotional_speech_rep04,820,r82_independent_replication,high_emotional_speech,4,49937557060720
r82_seed820_high_emotional_speech_rep05,820,r82_independent_replication,high_emotional_speech,5,53513335825565
r82_seed820_low_information_speech_rep01,820,r82_independent_replication,low_information_speech,1,221866219350364
r82_seed820_low_information_speech_rep02,820,r82_independent_replication,low_information_speech,2,12609142293841
r82_seed820_low_information_speech_rep03,820,r82_independent_replication,low_information_speech,3,74648932822394
r82_seed820_low_information_speech_rep04,820,r82_independent_replication,low_information_speech,4,215439322305672
r82_seed820_low_information_speech_rep05,820,r82_independent_replication,low_information_speech,5,218490133047083
r82_seed820_mixed_strategies_rep01,820,r82_independent_replication,mixed_strategies,1,89940181036287
r82_seed820_mixed_strategies_rep02,820,r82_independent_replication,mixed_strategies,2,29348766801105
r82_seed820_mixed_strategies_rep03,820,r82_independent_replication,mixed_strategies,3,41861434835891
r82_seed820_mixed_strategies_rep04,820,r82_independent_replication,mixed_strategies,4,121338233373896
r82_seed820_mixed_strategies_rep05,820,r82_independent_replication,mixed_strategies,5,208723558307553
r82_seed821_baseline_rep01,821,r82_independent_replication,baseline,1,101453710412302
r82_seed821_baseline_rep02,821,r82_independent_replication,baseline,2,235307554414048
r82_seed821_baseline_rep03,821,r82_independent_replication,baseline,3,129958508525679
r82_seed821_baseline_rep04,821,r82_independent_replication,baseline,4,230389013008320
r82_seed821_baseline_rep05,821,r82_independent_replication,baseline,5,254271363173382
r82_seed821_speech_enabled_rep01,821,r82_independent_replication,speech_enabled,1,164186394769597
r82_seed821_speech_enabled_rep02,821,r82_independent_replication,speech_enabled,2,39077826513965
r82_seed821_speech_enabled_rep03,821,r82_independent_replication,speech_enabled,3,160328373503128
r82_seed821_speech_enabled_rep04,821,r82_independent_replication,speech_enabled,4,266064086766274
r82_seed821_speech_enabled_rep05,821,r82_independent_replication,speech_enabled,5,195218426463439
r82_seed821_herding_enabled_rep01,821,r82_independent_replication,herding_enabled,1,94935831992782
r82_seed821_herding_enabled_rep02,821,r82_independent_replication,herding_enabled,2,250404578844514
r82_seed821_herding_enabled_rep03,821,r82_independent_replication,herding_enabled,3,143561213898152
r82_seed821_herding_enabled_rep04,821,r82_independent_replication,herding_enabled,4,117895591663394
r82_seed821_herding_enabled_rep05,821,r82_independent_replication,herding_enabled,5,193736285355914
r82_seed821_deception_enabled_rep01,821,r82_independent_replication,deception_enabled,1,72850172630769
r82_seed821_deception_enabled_rep02,821,r82_independent_replication,deception_enabled,2,151291822457204
r82_seed821_deception_enabled_rep03,821,r82_independent_replication,deception_enabled,3,270495041484666
r82_seed821_deception_enabled_rep04,821,r82_independent_replication,deception_enabled,4,244821768618430
r82_seed821_deception_enabled_rep05,821,r82_independent_replication,deception_enabled,5,259859155185283
r82_seed821_heterogeneous_risk_rep01,821,r82_independent_replication,heterogeneous_risk,1,3084300528784
r82_seed821_heterogeneous_risk_rep02,821,r82_independent_replication,heterogeneous_risk,2,148295711652850
r82_seed821_heterogeneous_risk_rep03,821,r82_independent_replication,heterogeneous_risk,3,242119358560907
r82_seed821_heterogeneous_risk_rep04,821,r82_independent_replication,heterogeneous_risk,4,264334816974171
r82_seed821_heterogeneous_risk_rep05,821,r82_independent_replication,heterogeneous_risk,5,88596835088084
r82_seed821_strong_village_information_rep01,821,r82_independent_replication,strong_village_information,1,115709919469076
r82_seed821_strong_village_information_rep02,821,r82_independent_replication,strong_village_information,2,149859515258279
r82_seed821_strong_village_information_rep03,821,r82_independent_replication,strong_village_information,3,245606684728113
r82_seed821_strong_village_information_rep04,821,r82_independent_replication,strong_village_information,4,33815993326508
r82_seed821_strong_village_information_rep05,821,r82_independent_replication,strong_village_information,5,145543998935204
r82_seed821_weak_village_information_rep01,821,r82_independent_replication,weak_village_information,1,121100043915632
r82_seed821_weak_village_information_rep02,821,r82_independent_replication,weak_village_information,2,52308897492066
r82_seed821_weak_village_information_rep03,821,r82_independent_replication,weak_village_information,3,239757485629083
r82_seed821_weak_village_information_rep04,821,r82_independent_replication,weak_village_information,4,49169199373815
r82_seed821_weak_village_information_rep05,821,r82_independent_replication,weak_village_information,5,187696601883803
r82_seed821_high_emotional_speech_rep01,821,r82_independent_replication,high_emotional_speech,1,88200736747489
r82_seed821_high_emotional_speech_rep02,821,r82_independent_replication,high_emotional_speech,2,32498148782047
r82_seed821_high_emotional_speech_rep03,821,r82_independent_replication,high_emotional_speech,3,99671560234641
r82_seed821_high_emotional_speech_rep04,821,r82_independent_replication,high_emotional_speech,4,42497930550052
r82_seed821_high_emotional_speech_rep05,821,r82_independent_replication,high_emotional_speech,5,221952092306161
r82_seed821_low_information_speech_rep01,821,r82_independent_replication,low_information_speech,1,30167951588904
r82_seed821_low_information_speech_rep02,821,r82_independent_replication,low_information_speech,2,32482974334361
r82_seed821_low_information_speech_rep03,821,r82_independent_replication,low_information_speech,3,120582694968977
r82_seed821_low_information_speech_rep04,821,r82_independent_replication,low_information_speech,4,181904056262273
r82_seed821_low_information_speech_rep05,821,r82_independent_replication,low_information_speech,5,232782732863493
r82_seed821_mixed_strategies_rep01,821,r82_independent_replication,mixed_strategies,1,112764366425822
r82_seed821_mixed_strategies_rep02,821,r82_independent_replication,mixed_strategies,2,233355460667357
r82_seed821_mixed_strategies_rep03,821,r82_independent_replication,mixed_strategies,3,121237039182332
r82_seed821_mixed_strategies_rep04,821,r82_independent_replication,mixed_strategies,4,83226422084678
r82_seed821_mixed_strategies_rep05,821,r82_independent_replication,mixed_strategies,5,233959844859626
r82_seed822_baseline_rep01,822,r82_independent_replication,baseline,1,176577233885116
r82_seed822_baseline_rep02,822,r82_independent_replication,baseline,2,146865664974710
r82_seed822_baseline_rep03,822,r82_independent_replication,baseline,3,276841744643587
r82_seed822_baseline_rep04,822,r82_independent_replication,baseline,4,110292145381324
r82_seed822_baseline_rep05,822,r82_independent_replication,baseline,5,2618550665785
r82_seed822_speech_enabled_rep01,822,r82_independent_replication,speech_enabled,1,266550650801379
r82_seed822_speech_enabled_rep02,822,r82_independent_replication,speech_enabled,2,2768264238975
r82_seed822_speech_enabled_rep03,822,r82_independent_replication,speech_enabled,3,221346646060828
r82_seed822_speech_enabled_rep04,822,r82_independent_replication,speech_enabled,4,82916922698602
r82_seed822_speech_enabled_rep05,822,r82_independent_replication,speech_enabled,5,199446184205083
r82_seed822_herding_enabled_rep01,822,r82_independent_replication,herding_enabled,1,199116453671300
r82_seed822_herding_enabled_rep02,822,r82_independent_replication,herding_enabled,2,269869257094751
r82_seed822_herding_enabled_rep03,822,r82_independent_replication,herding_enabled,3,63367115594215
r82_seed822_herding_enabled_rep04,822,r82_independent_replication,herding_enabled,4,25050645109657
r82_seed822_herding_enabled_rep05,822,r82_independent_replication,herding_enabled,5,268440415189892
r82_seed822_deception_enabled_rep01,822,r82_independent_replication,deception_enabled,1,230893448215135
r82_seed822_deception_enabled_rep02,822,r82_independent_replication,deception_enabled,2,97868239411174
r82_seed822_deception_enabled_rep03,822,r82_independent_replication,deception_enabled,3,201484893985270
r82_seed822_deception_enabled_rep04,822,r82_independent_replication,deception_enabled,4,37261494849126
