dataset_split,iqr,mean,median,n_rows,score_name,speech_intent,stdev
train,0.012500000000000011,0.493632855567806,0.4875,1814,bow_werewolf_leaning_score,uncertainty,0.006250625200198654
train,0.009523809523809518,0.061994014805481175,0.06666666666666667,1814,bow_emotional_intensity_score,uncertainty,0.004762381104913253
train,0.11190476190476195,0.3715703260355962,0.31666666666666665,1814,bow_information_density_score,uncertainty,0.05595797798273078
train,0.0,0.5125,0.5125,790,bow_werewolf_leaning_score,coordination,0.0
train,0.0,0.075,0.075,790,bow_emotional_intensity_score,coordination,0.0
train,0.0,0.39166666666666666,0.39166666666666666,790,bow_information_density_score,coordination,0.0
train,0.01388888888888884,0.5334043546496613,0.5357142857142857,799,bow_werewolf_leaning_score,accusation,0.005936337244407294
train,0.04166666666666667,0.09105876393110436,0.07857142857142858,799,bow_emotional_intensity_score,accusation,0.019185933933649275
train,0.3182539682539683,0.44525870631940717,0.4125,799,bow_information_density_score,accusation,0.1328722579184224
train,0.027083333333333293,0.49478721363586536,0.48125,3041,bow_werewolf_leaning_score,trust_support,0.013543892999055987
train,0.029166666666666653,0.0729214622382988,0.0875,3041,bow_emotional_intensity_score,trust_support,0.014585730922060308
train,0.1645833333333333,0.40101460594102817,0.31875000000000003,3041,bow_information_density_score,trust_support,0.08230519591734034
train,0.0035714285714285587,0.5017832978929054,0.5,739,bow_werewolf_leaning_score,vote_explanation,0.0017869220736681992
train,0.014285714285714297,0.04286680842837812,0.05000000000000001,739,bow_emotional_intensity_score,vote_explanation,0.007147688294672828
train,0.14523809523809522,0.4941458856885108,0.5666666666666667,739,bow_information_density_score,vote_explanation,0.07266816432917368
train,0.011309523809523825,0.47340461131747147,0.46785714285714286,1423,bow_werewolf_leaning_score,defense,0.005655731525887874
train,0.009523809523809518,0.061814409530502296,0.05714285714285715,1423,bow_emotional_intensity_score,defense,0.0047627212849581995
train,0.0011904761904762418,0.49227319880868725,0.4928571428571429,1423,bow_information_density_score,defense,0.000595340160619801
train,0.010714285714285676,0.5303115113166221,0.525,1761,bow_werewolf_leaning_score,self_defense,0.005358470155712468
train,0.014285714285714304,0.11422487223168655,0.10714285714285714,1761,bow_emotional_intensity_score,self_defense,0.007144626874283325
train,0.14285714285714285,0.3648941348259917,0.4357142857142857,1761,bow_information_density_score,self_defense,0.07144626874283315
train,0.01666666666666672,0.5208781362007168,0.5291666666666667,744,bow_werewolf_leaning_score,vote_request,0.008338818823902201
train,0.033333333333333354,0.09991039426523299,0.08333333333333333,744,bow_emotional_intensity_score,vote_request,0.01667763764780436
train,0.08333333333333331,0.3831093189964158,0.3416666666666667,744,bow_information_density_score,vote_request,0.04169409411951087
train,0.03214285714285714,0.5072267573696145,0.5041666666666667,1575,bow_werewolf_leaning_score,neutral_statement,0.01348734517224866
train,0.10357142857142856,0.06266893424036282,0.041666666666666664,1575,bow_emotional_intensity_score,neutral_statement,0.045221911029400326
train,0.1276190476190477,0.33860589569161,0.38333333333333336,1575,bow_information_density_score,neutral_statement,0.06090882365219918
