unit_type,definition,stages_using_unit,total_rows,independent_or_clustered,clustering_variable,valid_for_inference,valid_for_descriptive_analysis,can_be_summed_across_stages,overlap_risk,final_reporting_rule,notes
independent_complete_game,A fully executed live game under one policy/condition.,"R3, seer position, structured search, seat-order, ML 2A/2B, R6.1",stage_specific,clustered when matched or seeded,"matched_set_id, seed, behavioral_regime, or game_family_id",yes when model accounts for matching/clustering,yes,no,same configurations can appear in copied or derived datasets,Report stage-level game counts and independent unit; do not claim a single project-wide independent N.,Complete games are the highest empirical unit for live outcome claims.
matched_configuration_set,A shared base state or seed/configuration used to compare policies.,"R3, ML 2A, ML 2B, R6.1, seat-order-neutral",stage_specific,matched,matched_set_id or pair_id,yes for paired contrasts,yes,no,matched identifiers are local to a stage,Matched policy games are not independent observations; analyze policy differences within matched sets.,This is the preferred unit for policy-vs-reference contrasts.
seed,Random seed used to generate repeated conditions.,"multi-seed robustness, R6.1, ML, structured search",at least 20 distinct final R6.1 seeds,cluster label,seed,diagnostic unless explicitly modeled,yes,no,same numeric seed can recur in unrelated generators,Use seed-level robustness within each experiment.,A seed is not itself a game outcome.
behavioral_regime,Configuration family controlling mechanism settings.,"R5, R5.1, R6.1, ML stages, BoW integration",stage_specific,cluster or stratification variable,behavioral_regime,yes for robustness/heterogeneity checks,yes,no,regime names and definitions differ across early stages,"Use as robustness strata, not independent sample size.",R6.1 uses 10 behavioral regimes.
player_game_row,One player or role's payoff/outcome row within one game.,"R4, R5, R5.1",40000 R4 rows; 40000 R5 rows over shared validation games,clustered within game,game_id,yes only with game-level bootstrap or clustered design,yes,no,R4 and R5 derive from same validation games,Player rows from the same game are clustered.,Use R5 for final risk metrics and R4 for payoff ledger validation.
action_event,"A logged role action, vote, speech, death, or payoff event.","R3, R4, R6.1, R6.2",stage_specific,nested within games,game_id,diagnostic only unless aggregated to game/matched set,yes,no,events differ by logger and policy condition,Event rows are not independent games.,Useful for mechanism and lifecycle audits.
speech_utterance,One generated speech string or speech event.,R2 and R3,32721 R2 utterances; 228471 R3 live speech events,"nested within game, speaker, template, and condition","game_id/game_uid, template_family, speaker",predictive validation only with grouped splits,yes,no,template families and generated speech are repeated structures,Utterances are not independent game outcomes.,BoW feature claims must remain separate from live policy claims.
vote_event,One vote decision or vote-quality record.,R3 and R6.1 Villager,318558 vote rows across R3 and R6.1 before overlap adjustment,nested within games and policies,"game_id, matched_set_id, policy",only after aggregation or matched design,yes,no,multiple votes per game and multiple policies per matched set,"Vote rows are mechanism diagnostics, not independent games.",Use role-policy matched summaries for final Villager strategy claims.
belief_update,One suspicion or p_wolf update row.,R3,194810,nested within game and target,"game_uid, belief_target",diagnostic only,yes,no,belief updates share game context and speakers,"Use for mechanism diagnosis, not final win-rate inference.",Belief effects support explanation of BoW live failure.
rollout_branch,A simulated continuation or counterfactual branch from a decision state.,"ML 1.5, ML 2B, BoW R3",16932 confirmed rollout/counterfactual rows,nested within source decision state,decision_id or source game,diagnostic/counterfactual only,yes,no,branches share source state and random continuation assumptions,Rollout branches are not live games.,Live complete-game evidence outranks rollout evidence.
counterfactual_candidate_action,A legal action candidate evaluated offline or in shadow mode.,ML and BoW diagnostics,stage_specific,nested within decision state,decision_id,prediction/model diagnostics only,yes,no,same decision contributes multiple candidate rows,Candidate rows are not independent games.,Do not turn candidate-row AUC into policy efficacy.
literature_source,One retained source or DOI-backed replacement source.,R7 and R7.1,64 R7 retained sources; 44 R7.1 final DOI-backed sources,bibliography item,not_applicable,not_applicable,yes,yes_as_bibliography_inventory_only,sources can support multiple findings,Literature sources are not empirical samples.,Final citations must come from R7.1 DOI-only bibliography.
finding_literature_mapping,One mapping between a project finding and a literature source.,R7.1 and R8,98,claim-support mapping,project_finding_id,not_applicable,yes,no,one source can map to multiple findings,Literature mapping rows are not empirical samples.,Use mappings to support final report citations and limitations.
