evidence_id,hypothesis_id,research_question_id,stage_id,mechanism_or_role,primary_outcome,comparison,independent_unit,sample_size,effect_direction,effect_size,confidence_interval,raw_p_value,adjusted_p_value,multiple_comparison_method,statistical_significance,practical_meaningfulness,robustness_summary,leakage_status,conclusion_status,final_safe_wording,source_data,original_r8_label,audited_label,changed,change_reason,post_selection_risk,confirmatory_status
E_R8_01,H_R8_01,RQ1,R2,BoW speech quantification,final-test ROC-AUC,BoW score models and structured-label models,utterance with grouped split caveat,8190 final-test utterance rows,positive predictive value,bow_scores_only AUC 0.6918; full_bow_vector AUC 0.7576,not_reported,not_reported,not_reported,not_applicable,not_applicable_or_not_reported,inconclusive,seed=template split diagnostics reported; regime=regime generalization reported,audit_passed,promising_but_uncertain,BoW features quantify generated speech but should not be treated as a deployed decision policy.,results/bow_speech_stage_r2/bow_role_prediction_metrics.csv,promising_but_uncertain,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,promising_but_uncertain
E_R8_02,H_R8_02,RQ1,R3,BoW live voting,village win rate,guarded_bow_010_live vs existing_system,matched complete game set,1650,harmful,-8.90909090909091 pp,"OR [0.5130961476254552, 0.7142360788448934]",1.9136278642279585e-09,3.827255728455917e-09,Holm across three primary game contrasts,yes,meaningful_negative_result,seed=reported in R3 seed robustness; regime=reported in R3 regime robustness,audit_passed,statistically_supported_harm,Live guarded BoW was harmful under tested integration rules.,results/bow_integration_stage_r3/r3_primary_game_contrasts.csv,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
E_R8_03,H_R8_03,RQ1,R3,structured plus BoW live voting,village win rate,structured_bow_guarded_live vs existing_system,matched complete game set,1650,harmful,-13.212121212121215 pp,"OR [0.36103401444608146, 0.5193829239402653]",6.6747458717397575e-21,2.0024237615219272e-20,Holm across three primary game contrasts,yes,meaningful_negative_result,seed=reported in R3 seed robustness; regime=reported in R3 regime robustness,audit_passed,statistically_supported_harm,Adding BoW to structured live voting should not be used as a final policy.,results/bow_integration_stage_r3/r3_primary_game_contrasts.csv,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
E_R8_04,H_R8_04,RQ2,R6.1,Villager voting,actor payoff,trust_weighted vs reference,matched role-module set,1000,improvement,0.2445375,"[0.1820, 0.3070]",0.000999000999000999,0.004995004995004995,villager role-policy family,yes,meaningful_within_tested_space,seed=reported; regime=reported,audit_passed,statistically_supported_improvement,"Trust-weighted voting is the strongest tested Villager policy, not a global optimum.",results/targeted_strategy_stage_r61/r61_villager_primary_contrasts.csv,Use trust_weighted as the strongest tested Villager policy only within the validated configuration space.,confirmatory_supported_with_selection_caveat,False,"trust_weighted remained statistically supported after role-family Holm correction, but still inherits policy-family selection risk.",moderate,confirmatory_supported
E_R8_05,H_R8_05,RQ2,R6.1,Hunter policy,actor payoff,no_shot vs reference,matched role-module set,1000,harmful,-0.1448,"[-0.1999, -0.0897]",0.000999000999000999,0.004995004995004995,hunter role-policy family,yes,meaningful_negative_result,seed=reported; regime=reported,audit_passed,statistically_supported_harm,Hunter no-shot is rejected under tested conditions.,results/targeted_strategy_stage_r61/r61_hunter_primary_contrasts.csv,Use reference as the strongest tested Hunter policy only within the validated configuration space.,historical_default_retained,False,No tested Hunter policy produced a confirmatory improvement over reference; no-shot and conservative variants were harmful.,low,confirmatory_supported_reference_retention
E_R8_06,H_R8_06,RQ2,R6.1,Seer reveal,actor payoff and exposure,immediate_reveal vs private_only,matched role-module set,1000,positive payoff with exposure tradeoff,0.07625,"[0.0327, 0.1198]",0.6173826173826173,1.0,seer role-policy family,no,inconclusive,seed=reported; regime=reported,audit_passed,promising_but_uncertain,Immediate reveal is promising but remains exposure-sensitive.,results/targeted_strategy_stage_r61/r61_seer_primary_contrasts.csv; results/metrics_integrity_stage_r62/r62_seer_post_reveal_hazard_summary.csv,Use immediate_reveal as the strongest tested Seer policy only within the validated configuration space.,experimental_candidate_requires_replication,True,"R8 selected immediate_reveal as the maximum mean-payoff policy on final R6.1 seeds, but Holm-adjusted p-value was 1.0 and R6.2 exposed survival tradeoffs.",high,descriptive_best_only
E_R8_07,H_R8_07,RQ2,R6.1/R6.2,Witch joint policy,actor payoff and potion waste,aggressive_full vs reference,matched role-module set plus lifecycle audit,1000,positive payoff with waste tradeoff,0.13119999999999998,"[0.0663, 0.1961]",0.01898101898101898,0.056943056943056944,witch role-policy family,no,inconclusive,seed=reported; regime=reported,audit_passed,promising_but_uncertain,Aggressive full Witch play remains experimental because R6.2 shows waste and opportunity-cost tradeoffs.,results/targeted_strategy_stage_r61/r61_witch_primary_contrasts.csv; results/metrics_integrity_stage_r62/r62_witch_potion_waste_summary.csv,Use aggressive_full as the strongest tested Witch policy only within the validated configuration space.,experimental_candidate_requires_replication,True,aggressive_full was the descriptive maximum but missed Holm significance at 0.05 and is sensitive to wrong-poison and potion-waste interpretations.,high,promising_but_not_confirmatory
E_R8_08,H_R8_08,RQ2,R6.1,Witch conservative policy,actor payoff,conservative_full vs reference,matched role-module set,1000,harmful,-0.3256,"[-0.3859, -0.2653]",0.000999000999000999,0.004995004995004995,witch role-policy family,yes,meaningful_negative_result,seed=reported; regime=reported,audit_passed,statistically_supported_harm,Conservative full Witch policy is rejected under tested conditions.,results/targeted_strategy_stage_r61/r61_witch_primary_contrasts.csv,Use aggressive_full as the strongest tested Witch policy only within the validated configuration space.,experimental_candidate_requires_replication,True,aggressive_full was the descriptive maximum but missed Holm significance at 0.05 and is sensitive to wrong-poison and potion-waste interpretations.,high,promising_but_not_confirmatory
E_R8_09,H_R8_09,RQ2,R6.1,Werewolf deception/aggression,actor payoff,deep_cover vs reference,matched role-module set,1000,harmful,-0.61385,"[-0.6921, -0.5356]",0.000999000999000999,0.004995004995004995,wolf role-policy family,yes,meaningful_negative_result,seed=reported; regime=reported,audit_passed,statistically_supported_harm,Deep-cover wolf strategy is rejected under tested conditions.,results/targeted_strategy_stage_r61/r61_wolf_primary_contrasts.csv,Use reference as the strongest tested Werewolf policy only within the validated configuration space.,historical_default_retained,False,"reference and threat_adaptive tied on summary payoff; deep_cover was harmful, so no new wolf default is supported.",low,confirmatory_supported_reference_retention
E_R8_10,H_R8_10,RQ3,R5,risk-adjusted payoff,"mean payoff, downside deviation, Sharpe-like, Sortino-like, CVaR-like",roles under core payoff specification,game-level bootstrap with player rows clustered by game,2000 validation games; 40000 player rows,differentiates roles,Werewolf highest mean 1.2095 and highest Sharpe-like 0.8434; Hunter worst CVaR95-like 2.2675,bootstrap CIs in r5_bootstrap_confidence_intervals.csv,not_applicable,not_applicable,not_applicable,not_applicable_or_not_reported,meaningful_within_tested_space,seed=reported; regime=reported,audit_passed,statistically_supported_improvement,"Financial-risk metrics are valid as game-payoff analogues, not real financial returns.",results/financial_risk_stage_r5/r5_role_expected_payoff_summary.csv,statistically_supported_improvement,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_improvement
