actual_intent,count,dataset_split,predicted_intent
uncertainty,1814,train,uncertainty
coordination,790,train,coordination
accusation,799,train,accusation
trust_support,3041,train,trust_support
vote_explanation,739,train,vote_explanation
defense,1423,train,defense
self_defense,1761,train,self_defense
vote_request,744,train,vote_request
neutral_statement,1575,train,neutral_statement
counter_claim,824,train,counter_claim
hunter_claim,155,train,hunter_claim
witch_claim,133,train,witch_claim
false_accusation,885,train,false_accusation
deflection,1493,train,deflection
information_report,63,train,information_report
strong_accusation,8,train,strong_accusation
trust_building,4,train,trust_building
trust_support,795,validation,trust_support
self_defense,469,validation,self_defense
uncertainty,423,validation,uncertainty
defense,364,validation,defense
counter_claim,196,validation,counter_claim
neutral_statement,403,validation,neutral_statement
coordination,210,validation,coordination
vote_request,206,validation,vote_request
vote_explanation,180,validation,vote_explanation
accusation,196,validation,accusation
hunter_claim,33,validation,hunter_claim
witch_claim,32,validation,witch_claim
false_accusation,245,validation,false_accusation
deflection,363,validation,deflection
information_report,13,validation,information_report
trust_building,1,validation,trust_building
uncertainty,889,final_test,uncertainty
trust_support,1491,final_test,trust_support
accusation,360,final_test,accusation
defense,709,final_test,defense
self_defense,907,final_test,self_defense
vote_explanation,385,final_test,vote_explanation
neutral_statement,837,final_test,neutral_statement
coordination,396,final_test,coordination
vote_request,408,final_test,vote_request
counter_claim,419,final_test,counter_claim
witch_claim,63,final_test,witch_claim
hunter_claim,81,final_test,hunter_claim
false_accusation,469,final_test,false_accusation
deflection,746,final_test,deflection
information_report,29,final_test,information_report
strong_accusation,1,final_test,strong_accusation
uncertainty,240,ood_template,strong_accusation
trust_support,369,ood_template,trust_building
vote_request,74,ood_template,strong_accusation
vote_explanation,96,ood_template,strong_accusation
defense,177,ood_template,trust_building
accusation,91,ood_template,trust_building
neutral_statement,199,ood_template,trust_building
self_defense,220,ood_template,trust_building
coordination,96,ood_template,trust_building
counter_claim,124,ood_template,trust_building
false_accusation,110,ood_template,strong_accusation
deflection,197,ood_template,trust_building
hunter_claim,23,ood_template,strong_accusation
witch_claim,17,ood_template,trust_building
information_report,9,ood_template,trust_building
strong_accusation,2,ood_template,trust_building
accusation,78,ood_regime,accusation
trust_support,264,ood_regime,trust_support
coordination,96,ood_regime,coordination
self_defense,204,ood_regime,self_defense
false_accusation,269,ood_regime,false_accusation
neutral_statement,190,ood_regime,neutral_statement
uncertainty,215,ood_regime,uncertainty
defense,165,ood_regime,defense
deflection,141,ood_regime,deflection
counter_claim,68,ood_regime,counter_claim
information_report,19,ood_regime,information_report
vote_explanation,62,ood_regime,vote_explanation
vote_request,68,ood_regime,vote_request
witch_claim,12,ood_regime,witch_claim
trust_building,49,ood_regime,trust_building
false_role_claim,50,ood_regime,trust_building
last_words,139,ood_regime,trust_building
hunter_claim,18,ood_regime,hunter_claim
