hypothesis_id,research_question_id,stage_id,role_or_mechanism,hypothesis,null_hypothesis,primary_outcome,independent_unit,sample_size,comparison,effect_direction,effect_size,confidence_interval,raw_p_value,adjusted_p_value,multiplicity_family,seed_robustness,regime_robustness,leakage_status,overfitting_status,evidence_grade,conclusion_status,final_safe_wording,literature_relationship,project_source,literature_source_ids,original_r8_label,audited_label,changed,change_reason,post_selection_risk,confirmatory_status
H_R8_01,RQ1,R2,BoW speech quantification,BoW features quantify speech signals with predictive value.,BoW features provide no useful role-prediction signal.,final-test ROC-AUC,utterance with grouped split caveat,8190 final-test utterance rows,BoW score models and structured-label models,positive predictive value,bow_scores_only AUC 0.6918; full_bow_vector AUC 0.7576,not_reported,not_reported,not_reported,not_applicable,template split diagnostics reported,regime generalization reported,audit_passed,template_bound,B,promising_but_uncertain,BoW features quantify generated speech but should not be treated as a deployed decision policy.,consistent with text-classification and domain-shift literature,results/bow_speech_stage_r2/bow_role_prediction_metrics.csv,S065;S068;S077,promising_but_uncertain,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,promising_but_uncertain
H_R8_02,RQ1,R3,BoW live voting,Guarded BoW integration improves live village outcomes.,Guarded BoW integration does not improve live village outcomes.,village win rate,matched complete game set,1650,guarded_bow_010_live vs existing_system,harmful,-8.90909090909091 pp,"OR [0.5130961476254552, 0.7142360788448934]",1.9136278642279585e-09,3.827255728455917e-09,Holm across three primary game contrasts,reported in R3 seed robustness,reported in R3 regime robustness,audit_passed,template_bound_live_failure,A-,statistically_supported_harm,Live guarded BoW was harmful under tested integration rules.,consistent with domain shift and offline policy failure literature,results/bow_integration_stage_r3/r3_primary_game_contrasts.csv,S065;S069;S070,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
H_R8_03,RQ1,R3,structured plus BoW live voting,Structured plus BoW guarded policy improves village outcomes.,Structured plus BoW guarded policy does not improve village outcomes.,village win rate,matched complete game set,1650,structured_bow_guarded_live vs existing_system,harmful,-13.212121212121215 pp,"OR [0.36103401444608146, 0.5193829239402653]",6.6747458717397575e-21,2.0024237615219272e-20,Holm across three primary game contrasts,reported in R3 seed robustness,reported in R3 regime robustness,audit_passed,template_bound_live_failure,A-,statistically_supported_harm,Adding BoW to structured live voting should not be used as a final policy.,consistent with shortcut learning and offline policy failure literature,results/bow_integration_stage_r3/r3_primary_game_contrasts.csv,S065;S069,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
H_R8_04,RQ2,R6.1,Villager voting,Trust-weighted Villager voting improves actor payoff relative to reference.,Trust-weighted Villager voting does not improve actor payoff.,actor payoff,matched role-module set,1000,trust_weighted vs reference,improvement,0.2445375,"[0.1820, 0.3070]",0.000999000999000999,0.004995004995004995,villager role-policy family,reported,reported,audit_passed,not_applicable,A,statistically_supported_improvement,"Trust-weighted voting is the strongest tested Villager policy, not a global optimum.",consistent with reputation-weighted aggregation literature,results/targeted_strategy_stage_r61/r61_villager_primary_contrasts.csv,S025;S079;S083,statistically_supported_improvement,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_improvement
H_R8_05,RQ2,R6.1,Hunter policy,Hunter no-shot policy is competitive with reference.,Hunter no-shot does not differ from reference.,actor payoff,matched role-module set,1000,no_shot vs reference,harmful,-0.1448,"[-0.1999, -0.0897]",0.000999000999000999,0.004995004995004995,hunter role-policy family,reported,reported,audit_passed,not_applicable,A,statistically_supported_harm,Hunter no-shot is rejected under tested conditions.,consistent with downside-risk literature,results/targeted_strategy_stage_r61/r61_hunter_primary_contrasts.csv,S074;S087;S088,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
H_R8_06,RQ2,R6.1,Seer reveal,Immediate reveal improves Seer actor payoff.,Immediate reveal does not improve Seer actor payoff.,actor payoff and exposure,matched role-module set,1000,immediate_reveal vs private_only,positive payoff with exposure tradeoff,0.07625,"[0.0327, 0.1198]",0.6173826173826173,1.0,seer role-policy family,reported,reported,audit_passed,not_applicable,B,promising_but_uncertain,Immediate reveal is promising but remains exposure-sensitive.,consistent with information disclosure and persuasion literature,results/targeted_strategy_stage_r61/r61_seer_primary_contrasts.csv; results/metrics_integrity_stage_r62/r62_seer_post_reveal_hazard_summary.csv,S071;S081;S082,promising_but_uncertain,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,promising_but_uncertain
H_R8_07,RQ2,R6.1/R6.2,Witch joint policy,Aggressive full Witch policy improves payoff without unacceptable waste.,Aggressive full Witch policy is not better than reference.,actor payoff and potion waste,matched role-module set plus lifecycle audit,1000,aggressive_full vs reference,positive payoff with waste tradeoff,0.13119999999999998,"[0.0663, 0.1961]",0.01898101898101898,0.056943056943056944,witch role-policy family,reported,reported,audit_passed,not_applicable,B,promising_but_uncertain,Aggressive full Witch play remains experimental because R6.2 shows waste and opportunity-cost tradeoffs.,consistent with intervention and risk-cost framing,results/targeted_strategy_stage_r61/r61_witch_primary_contrasts.csv; results/metrics_integrity_stage_r62/r62_witch_potion_waste_summary.csv,S070;S087,promising_but_uncertain,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,promising_but_uncertain
H_R8_08,RQ2,R6.1,Witch conservative policy,Conservative full Witch policy protects resources without harming payoff.,Conservative full Witch policy does not differ from reference.,actor payoff,matched role-module set,1000,conservative_full vs reference,harmful,-0.3256,"[-0.3859, -0.2653]",0.000999000999000999,0.004995004995004995,witch role-policy family,reported,reported,audit_passed,not_applicable,A,statistically_supported_harm,Conservative full Witch policy is rejected under tested conditions.,consistent with opportunity-cost framing,results/targeted_strategy_stage_r61/r61_witch_primary_contrasts.csv,S070;S087;S088,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
H_R8_09,RQ2,R6.1,Werewolf deception/aggression,Deep-cover Werewolf policy improves wolf payoff.,Deep-cover policy does not differ from reference.,actor payoff,matched role-module set,1000,deep_cover vs reference,harmful,-0.61385,"[-0.6921, -0.5356]",0.000999000999000999,0.004995004995004995,wolf role-policy family,reported,reported,audit_passed,not_applicable,A,statistically_supported_harm,Deep-cover wolf strategy is rejected under tested conditions.,consistent with credibility-cost and manipulation-risk framing,results/targeted_strategy_stage_r61/r61_wolf_primary_contrasts.csv,S002;S003;S076;S084,statistically_supported_harm,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_harm
H_R8_10,RQ3,R5,risk-adjusted payoff,Expected payoff and risk-adjusted payoff distinguish role incentives.,Risk metrics add no interpretive value beyond win rate.,"mean payoff, downside deviation, Sharpe-like, Sortino-like, CVaR-like",game-level bootstrap with player rows clustered by game,2000 validation games; 40000 player rows,roles under core payoff specification,differentiates roles,Werewolf highest mean 1.2095 and highest Sharpe-like 0.8434; Hunter worst CVaR95-like 2.2675,bootstrap CIs in r5_bootstrap_confidence_intervals.csv,not_applicable,not_applicable,not_applicable,reported,reported,audit_passed,not_applicable,A,statistically_supported_improvement,"Financial-risk metrics are valid as game-payoff analogues, not real financial returns.",consistent with risk-measure literature,results/financial_risk_stage_r5/r5_role_expected_payoff_summary.csv,S058;S059;S060;S074;S087;S088,statistically_supported_improvement,unchanged,False,No R8.1 role-strategy downgrade applied to this row.,low_to_moderate,statistically_supported_improvement
