finding_id,project_chapter,project_finding,project_source,literature_source_id,source_year,doi,doi_verified,recent_source,foundational_source,relationship,final_citation_eligible,coverage_status,safe_final_wording
F01,low_information_baseline,Low-information village performance was weak.,Stage 1 random baseline reported very high wolf win.,S001,2008,10.1214/07-AAP456,True,False,True,consistent_with_literature,True,foundational_plus_recent,Low-information hidden-role environments favor the informed minority.
F01,low_information_baseline,Low-information village performance was weak.,Stage 1 random baseline reported very high wolf win.,S002,2018,10.1609/aiide.v14i1.13015,True,True,False,consistent_with_literature,True,foundational_plus_recent,Low-information hidden-role environments favor the informed minority.
F02,information_and_speech,Structured speech substantially improved village outcomes.,Stage 2 speech-enabled village win improved descriptively.,S005,2022,10.18653/v1/2022.naacl-main.11,True,True,False,consistent_with_literature,True,recent_direct_coverage,Communication can transmit useful signals when credibility is bounded.
F02,information_and_speech,Structured speech substantially improved village outcomes.,Stage 2 speech-enabled village win improved descriptively.,S071,2019,10.1146/annurev-economics-080218-025739,True,True,False,consistent_with_literature,True,recent_direct_coverage,Communication can transmit useful signals when credibility is bounded.
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,R6.1 Villager trust_weighted had best mean actor payoff.,S025,2019,10.1073/pnas.1806781116,True,True,False,consistent_with_literature,True,recent_direct_coverage,Reputation-weighted aggregation parallels trust and reputation systems.
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,R6.1 Villager trust_weighted had best mean actor payoff.,S073,2023,10.1093/rfs/hhac058,True,True,False,consistent_with_literature,True,recent_direct_coverage,Reputation-weighted aggregation parallels trust and reputation systems.
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,Trust-weighted herding was non-monotonic and not uniformly beneficial.,S015,1992,10.2307/2118364,True,False,True,consistent_with_literature,True,foundational_plus_recent,Cascades and conformity can propagate wrong signals.
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,Trust-weighted herding was non-monotonic and not uniformly beneficial.,S016,1992,10.1086/261849,True,False,True,consistent_with_literature,True,foundational_plus_recent,Cascades and conformity can propagate wrong signals.
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,Trust-weighted herding was non-monotonic and not uniformly beneficial.,S079,2019,10.1038/s41562-018-0518-x,True,True,False,consistent_with_literature,True,foundational_plus_recent,Cascades and conformity can propagate wrong signals.
F05,bow_r2,BoW had moderate held-out predictive value.,R2 BoW-score speaker-is-wolf AUC was 0.692.,S005,2022,10.18653/v1/2022.naacl-main.11,True,True,False,methodological_parallel,True,recent_direct_coverage,Sparse lexical features can carry predictive signal.
F05,bow_r2,BoW had moderate held-out predictive value.,R2 BoW-score speaker-is-wolf AUC was 0.692.,S068,2021,10.1145/3439726,True,True,False,methodological_parallel,True,recent_direct_coverage,Sparse lexical features can carry predictive signal.
F06,bow_r2,BoW failed under unseen templates.,Full BoW vector AUC dropped under OOD-template split.,S065,2020,10.1038/s42256-020-00257-z,True,True,False,consistent_with_literature,True,recent_direct_coverage,Template failure is a domain-shift problem.
F06,bow_r2,BoW failed under unseen templates.,Full BoW vector AUC dropped under OOD-template split.,S068,2021,10.1145/3439726,True,True,False,consistent_with_literature,True,recent_direct_coverage,Template failure is a domain-shift problem.
F07,bow_r3,Live BoW integration reduced village outcomes.,R3 guarded BoW live policies underperformed reference conditions.,S065,2020,10.1038/s42256-020-00257-z,True,True,False,consistent_with_literature,True,recent_direct_coverage,Prediction quality need not translate into policy value.
