project_finding_id,project_chapter,project_finding,eligible_source_count,doi_verified_source_count,recent_source_count,foundational_source_count,source_ids,dois,literature_relationships,safe_final_wording,coverage_status,source_data
F01,low_information_baseline,Low-information village performance was weak.,2,2,1,1,S001;S002,10.1214/07-AAP456;10.1609/aiide.v14i1.13015,consistent_with_literature,Low-information hidden-role environments favor the informed minority.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F02,information_and_speech,Structured speech substantially improved village outcomes.,2,2,2,0,S005;S071,10.1146/annurev-economics-080218-025739;10.18653/v1/2022.naacl-main.11,consistent_with_literature,Communication can transmit useful signals when credibility is bounded.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F03,villager_strategy,Trust-weighted voting was the strongest tested Villager policy.,2,2,2,0,S025;S073,10.1073/pnas.1806781116;10.1093/rfs/hhac058,consistent_with_literature,Reputation-weighted aggregation parallels trust and reputation systems.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F04,herding,Unconditional or poorly calibrated aggregation may amplify error.,3,3,1,2,S015;S016;S079,10.1038/s41562-018-0518-x;10.1086/261849;10.2307/2118364,consistent_with_literature,Cascades and conformity can propagate wrong signals.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F05,bow_r2,BoW had moderate held-out predictive value.,2,2,2,0,S005;S068,10.1145/3439726;10.18653/v1/2022.naacl-main.11,methodological_parallel,Sparse lexical features can carry predictive signal.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F06,bow_r2,BoW failed under unseen templates.,2,2,2,0,S065;S068,10.1038/s42256-020-00257-z;10.1145/3439726,consistent_with_literature,Template failure is a domain-shift problem.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F07,bow_r3,Live BoW integration reduced village outcomes.,3,3,3,0,S065;S069;S070,10.1038/s41591-018-0310-5;10.1038/s42256-020-00257-z;10.1109/TNNLS.2023.3250269,consistent_with_literature,Prediction quality need not translate into policy value.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F08,ml_policy,Prediction quality did not imply policy value.,2,2,2,0,S069;S070,10.1038/s41591-018-0310-5;10.1109/TNNLS.2023.3250269,consistent_with_literature,Offline or surrogate evaluation can fail under live distribution shift.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F09,seer_information,Early wolf discovery was associated with village success.,2,2,2,0,S071;S072,10.1146/annurev-economics-080218-025739;10.1257/aer.20161079,consistent_with_literature,Private information can have strategic value.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F10,seer_search,Highest-suspicion and highest-p_wolf checking were not supported.,2,2,2,0,S065;S082,10.1038/s42256-020-00257-z;10.3982/TE1808,extends_literature,Local risk scores can be post-treatment or misleading if not calibrated.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F11,position_theory,Position folklore was not supported after randomization.,2,2,2,0,S066;S067,10.1016/j.cosrev.2017.03.001;10.18564/jasss.4259,methodological_parallel,Randomized assignment and validation can falsify intuitive artifacts.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F12,seer_reveal,Immediate reveal was promising but uncertain.,2,2,2,0,S071;S081,10.1146/annurev-economics-080218-025739;10.1257/jel.20181489,partially_consistent,Information revelation has benefits and strategic costs.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F13,seer_reveal,Reveal generated high short-term mortality hazard.,2,2,1,1,S030;S071,10.1093/rfs/5.3.503;10.1146/annurev-economics-080218-025739,extends_literature,Public signalers can become strategic targets.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F14,risk_metrics,Information premium was positive but partly outcome-dependent.,2,2,2,0,S072;S074,10.1214/16-AOS1439;10.1257/aer.20161079,partially_consistent,Information value should be separated from outcome dependence.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F15,witch,Aggressive intervention had a possible return advantage.,2,2,2,0,S070;S087,10.1038/s41591-018-0310-5;10.1287/opre.2016.1539,methodological_parallel,High-impact interventions can raise expected value but require risk controls.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F16,witch,Aggressive intervention increased wrong-poison risk.,3,3,3,0,S074;S087;S088,10.1214/16-AOS1439;10.1287/opre.2016.1539;10.1287/opre.2017.1716,consistent_with_literature,Downside/tail metrics clarify intervention harm.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F17,witch,Extreme conservatism produced high unused-resource cost.,2,2,1,1,S058;S088,10.1086/294846;10.1287/opre.2017.1716,extends_literature,Opportunity-cost framing explains excessive inaction.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F18,witch,Conservative-full policy was harmful.,2,2,2,0,S083;S087,10.1111/eufm.12231;10.1287/opre.2016.1539,partially_consistent,Risk aversion can be harmful when resources expire unused.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F19,witch,Risk-balanced policies reduced direct waste but did not prove superior.,2,2,2,0,S074;S088,10.1214/16-AOS1439;10.1287/opre.2017.1716,consistent_with_literature,Lower risk is not automatically higher payoff.,recent_direct_coverage,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
F20,hunter,Hunter had severe downside and CVaR-like risk.,3,3,2,1,S060;S087;S088,10.1287/opre.2016.1539;10.1287/opre.2017.1716;10.21314/JOR.2000.038,consistent_with_literature,Irreversible high-impact actions concentrate downside risk.,foundational_plus_recent,results/literature_doi_recency_audit_stage_r71/r71_revised_finding_literature_matrix.csv
