source_id,citation_key,year,within_2016_2026,literature_domain,role_in_argument,foundational_candidate,recent_replacement_available,recent_companion_available,keep_or_replace,justification
S001,braverman2008mafia,2008,False,social_deduction,Mafia/Werewolf is a valid partial-information game model where informed minorities can dominate under low information.,True,False,True,keep_foundational_exception,No recent source replaces its role as the canonical formal Mafia model.
S002,eger2018story,2018,True,social_deduction,Story consistency and deception commitment are central in social deduction agents.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S003,eger2019commitment,2019,True,social_deduction,"Deception policy design involves a tradeoff between consistency, credibility, and performance.",False,False,False,keep_recent_final_source,Recent DOI source retained.
S004,toriumi2017aiwolf,2017,True,social_deduction,"Werewolf can serve as a benchmark for multi-agent communication, deception, and role inference.",False,False,False,keep_recent_final_source,Recent DOI source retained.
S005,ibraheem2022con,2022,True,social_deduction,"Conversational context helps identify deceptive actors, but deception detection remains hard.",False,False,False,keep_recent_final_source,Recent DOI source retained.
S006,serrino2019friend,2019,True,social_deduction,Hidden-role games require joint belief inference and action-based friend-or-foe reasoning.,False,True,True,replace_no_doi_source,Replaced by S007.
S007,stepputtis2023avalon,2023,True,social_deduction,Long-horizon dialogue remains difficult for role inference under deception.,False,False,False,keep_recent_final_source,Recent DOI source retained.
S008,kopparapu2022hidden,2022,True,social_deduction,Social deduction environments can produce diverse learned behavioral regimes.,False,True,True,replace_no_doi_source,Replaced by S002.
S009,harsanyi1967bayesian,1967,False,asymmetric_information,Hidden-role games can be framed as incomplete-information games with subjective beliefs over types.,True,False,True,keep_foundational_exception,Later information-design sources extend but do not replace the original Bayesian-games foundation.
S010,akerlof1970lemons,1970,False,asymmetric_information,Information asymmetry can produce adverse selection and motivates reputation or screening analogies.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S011,spence1973signaling,1973,False,asymmetric_information,Speech and reveal decisions can be interpreted as signals whose credibility matters.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S012,crawford1982cheap,1982,False,asymmetric_information,"Strategic communication is less informative when preferences diverge, matching wolf deception constraints.",True,False,True,keep_foundational_exception,Recent persuasion and information-design sources build on it but do not replace the original strategic-communication formulation.
S013,mertens1985beliefs,1985,False,asymmetric_information,Beliefs about other players' roles and beliefs are central in hidden-role games.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
S014,kreps1982sequential,1982,False,asymmetric_information,Dynamic hidden-information settings require belief consistency over histories.,False,False,False,exclude_from_final_bibliography,Excluded from final DOI-and-recency bibliography.
