experiment_component,pair_id,game_id,seed,base_game_index,reference_or_replay,strategy,mirrored,physical_direction,actor_mapping,physical_mapping,action_log_id,action_count,reference_action_count,replay_action_count,action_sequence_exact_match,state_sequence_exact_match,winner_match,total_rounds_match,final_alive_set_match,first_divergence_event_index,first_divergence_round,first_divergence_phase,first_divergence_type,mirrored_action_sequence_match,first_check_mirror_match,full_check_sequence_mirror_match,vote_sequence_mirror_match,speech_sequence_mirror_match,winner_mirror_match,rounds_mirror_match,final_alive_mirror_match,winner,village_win,wolf_win,total_rounds,seer_actor_uid,seer_survived_to_game_end,total_seer_checks,found_wolf_by_check_1,found_wolf_by_check_2,found_wolf_by_check_3
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_1,strategy_mirror_seed_42_base_1,42,1,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""villager"",""2"":""villager"",""3"":""werewolf"",""4"":""werewolf"",""5"":""hunter"",""6"":""villager"",""7"":""witch"",""8"":""villager"",""9"":""seer"",""10"":""werewolf""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_1_physical_clockwise,69,69,69,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,5,9,0,3,1,1,1
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_2,strategy_mirror_seed_42_base_2,42,2,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""werewolf"",""2"":""werewolf"",""3"":""werewolf"",""4"":""villager"",""5"":""seer"",""6"":""villager"",""7"":""hunter"",""8"":""witch"",""9"":""villager"",""10"":""villager""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_2_physical_clockwise,57,57,57,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,4,5,0,1,0,0,0
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_3,strategy_mirror_seed_42_base_3,42,3,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""witch"",""2"":""werewolf"",""3"":""seer"",""4"":""werewolf"",""5"":""werewolf"",""6"":""hunter"",""7"":""villager"",""8"":""villager"",""9"":""villager"",""10"":""villager""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_3_physical_clockwise,64,64,64,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,4,3,0,4,1,1,1
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_4,strategy_mirror_seed_42_base_4,42,4,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""witch"",""2"":""hunter"",""3"":""werewolf"",""4"":""villager"",""5"":""seer"",""6"":""werewolf"",""7"":""villager"",""8"":""werewolf"",""9"":""villager"",""10"":""villager""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_4_physical_clockwise,60,60,60,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,village,1,0,4,5,1,4,1,1,1
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_5,strategy_mirror_seed_42_base_5,42,5,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""villager"",""2"":""werewolf"",""3"":""villager"",""4"":""werewolf"",""5"":""seer"",""6"":""villager"",""7"":""witch"",""8"":""villager"",""9"":""hunter"",""10"":""werewolf""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_5_physical_clockwise,58,58,58,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,village,1,0,3,5,1,3,0,0,0
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_6,strategy_mirror_seed_42_base_6,42,6,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""villager"",""2"":""hunter"",""3"":""seer"",""4"":""werewolf"",""5"":""werewolf"",""6"":""villager"",""7"":""villager"",""8"":""werewolf"",""9"":""witch"",""10"":""villager""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_6_physical_clockwise,54,54,54,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,village,1,0,3,3,0,2,1,1,1
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_7,strategy_mirror_seed_42_base_7,42,7,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""werewolf"",""2"":""villager"",""3"":""hunter"",""4"":""werewolf"",""5"":""witch"",""6"":""seer"",""7"":""villager"",""8"":""villager"",""9"":""villager"",""10"":""werewolf""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_7_physical_clockwise,24,24,24,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,2,6,0,2,0,0,0
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_8,strategy_mirror_seed_42_base_8,42,8,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""werewolf"",""2"":""hunter"",""3"":""villager"",""4"":""seer"",""5"":""witch"",""6"":""werewolf"",""7"":""villager"",""8"":""werewolf"",""9"":""villager"",""10"":""villager""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_8_physical_clockwise,55,55,55,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,4,4,0,1,0,0,0
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_9,strategy_mirror_seed_42_base_9,42,9,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""villager"",""2"":""werewolf"",""3"":""werewolf"",""4"":""villager"",""5"":""hunter"",""6"":""seer"",""7"":""villager"",""8"":""villager"",""9"":""witch"",""10"":""werewolf""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_9_physical_clockwise,53,53,53,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,3,6,0,1,0,0,0
strategy_mirror_counterfactual,strategy_mirror_seed_42_base_10,strategy_mirror_seed_42_base_10,42,10,strategy_mirror_pair,physical_clockwise_vs_physical_counterclockwise,1,clockwise_original_counterclockwise_mirrored,"{""1"":""villager"",""2"":""villager"",""3"":""hunter"",""4"":""werewolf"",""5"":""villager"",""6"":""witch"",""7"":""villager"",""8"":""werewolf"",""9"":""seer"",""10"":""werewolf""}","{""1"":10,""2"":9,""3"":8,""4"":7,""5"":6,""6"":5,""7"":4,""8"":3,""9"":2,""10"":1}",strategy_mirror_reference_seed_42_base_10_physical_clockwise,45,45,45,1,,1,1,1,,,none,none,1,1,1,1,1,1,1,1,wolf,0,1,4,9,0,1,1,1,1
