token,semantic_group,polarity,intensity_weight,information_weight,werewolf_leaning_weight,source,rationale,included_in_primary_score,notes
accuse,accusation,wolf_leaning,0.4,0.35,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Direct accusation verb.,True,
suspect,accusation,wolf_leaning,0.35,0.3,0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Suspicion statement.,True,
suspicious,suspicion,wolf_leaning,0.3,0.25,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Suspicion adjective.,True,
pressure,accusation,wolf_leaning,0.35,0.2,0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Coalition pressure language.,True,
push,accusation,wolf_leaning,0.25,0.2,0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Vote-steering language.,True,
liar,accusation,wolf_leaning,0.7,0.1,0.45,r2_core_lexicon_v1_frozen_pre_evaluation,High-intensity credibility attack.,True,
fake,deception,wolf_leaning,0.55,0.2,0.4,r2_core_lexicon_v1_frozen_pre_evaluation,Deception allegation or deceptive framing.,True,
frame,deception,wolf_leaning,0.45,0.25,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Misdirection or framing claim.,True,
wolf,suspicion,wolf_leaning,0.45,0.45,0.5,r2_core_lexicon_v1_frozen_pre_evaluation,Core role accusation word.,True,
wolfish,suspicion,wolf_leaning,0.35,0.3,0.45,r2_core_lexicon_v1_frozen_pre_evaluation,Indirect wolf-likeness claim.,True,
pack,suspicion,wolf_leaning,0.35,0.25,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Wolf-team reference.,True,
hidden,suspicion,wolf_leaning,0.25,0.2,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Concealment language.,True,
cover,deception,wolf_leaning,0.25,0.2,0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Cover-story language.,True,
agenda,deception,wolf_leaning,0.35,0.2,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Strategic manipulation cue.,True,
slip,evidence,wolf_leaning,0.25,0.4,0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Evidence-like behavioral cue.,True,
signal,evidence,wolf_leaning,0.2,0.35,0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Evidence-like behavioral cue.,True,
sure,certainty,wolf_leaning,0.45,0.1,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Strong certainty can reflect overclaiming.,True,
certain,certainty,wolf_leaning,0.45,0.1,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Strong certainty can reflect overclaiming.,True,
obvious,certainty,wolf_leaning,0.5,0.1,0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Unsupported certainty cue.,True,
definitely,certainty,wolf_leaning,0.5,0.1,0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Unsupported certainty cue.,True,
never,negation,defensive,0.3,0.1,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Negation preserved for denial language.,True,
not,negation,defensive,0.2,0.1,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Negation preserved for denial language.,True,
maybe,uncertainty,neutral,0.1,0.1,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Uncertainty marker.,True,
unsure,uncertainty,neutral,0.1,0.1,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Uncertainty marker.,True,
unclear,uncertainty,neutral,0.1,0.1,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Uncertainty marker.,True,
question,uncertainty,neutral,0.1,0.2,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Information-seeking language.,True,
why,uncertainty,neutral,0.1,0.2,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Information-seeking language.,True,
explain,evidence,neutral,0.15,0.35,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Requests justification.,True,
possible,uncertainty,neutral,0.1,0.15,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Moderated claim.,True,
doubt,uncertainty,neutral,0.2,0.15,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Doubt or hesitation.,True,
defend,defense,village_leaning,0.2,0.25,-0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Defense action language.,True,
clear,defense,village_leaning,0.15,0.3,-0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Clearing language.,True,
honest,defense,village_leaning,0.1,0.15,-0.15,r2_core_lexicon_v1_frozen_pre_evaluation,Credibility support.,True,
village,defense,village_leaning,0.15,0.35,-0.3,r2_core_lexicon_v1_frozen_pre_evaluation,Village-team claim.,True,
not_wolf,defense,village_leaning,0.25,0.3,-0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Direct denial.,True,
innocent,defense,village_leaning,0.2,0.2,-0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Innocence claim.,True,
protect,defense,village_leaning,0.1,0.2,-0.15,r2_core_lexicon_v1_frozen_pre_evaluation,Protective framing.,True,
trust,trust,village_leaning,0.1,0.2,-0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Trust support.,True,
believe,trust,village_leaning,0.1,0.2,-0.15,r2_core_lexicon_v1_frozen_pre_evaluation,Belief support.,True,
support,trust,village_leaning,0.1,0.2,-0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Coalition support.,True,
safe,trust,village_leaning,0.1,0.2,-0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Safety claim.,True,
agree,trust,neutral,0.1,0.1,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Agreement can amplify group pressure.,True,
ally,trust,village_leaning,0.1,0.2,-0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Alliance language.,True,
deflect,deception,wolf_leaning,0.3,0.1,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Suspicion redirection.,True,
divert,deception,wolf_leaning,0.3,0.1,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Suspicion redirection.,True,
claim,role_claim,ambiguous,0.2,0.4,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Observable role claim.,True,
counterclaim,role_claim,wolf_leaning,0.4,0.45,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Role-claim conflict.,True,
story,deception,wolf_leaning,0.2,0.1,0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Narrative construction cue.,True,
mask,deception,wolf_leaning,0.3,0.1,0.35,r2_core_lexicon_v1_frozen_pre_evaluation,Concealment cue.,True,
mislead,misinformation,wolf_leaning,0.4,0.2,0.45,r2_core_lexicon_v1_frozen_pre_evaluation,Misinformation cue.,True,
vote,voting,neutral,0.2,0.35,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Concrete vote action.,True,
votes,voting,neutral,0.15,0.35,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Vote history reference.,True,
voted,voting,neutral,0.15,0.35,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Vote history reference.,True,
eliminate,voting,wolf_leaning,0.35,0.3,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Execution pressure.,True,
majority,voting,neutral,0.2,0.3,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Coordination on votes.,True,
wagon,voting,wolf_leaning,0.25,0.25,0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Bandwagon pressure.,True,
tie,voting,neutral,0.1,0.25,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Voting state reference.,True,
role,role_claim,ambiguous,0.1,0.35,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Role discussion.,True,
seer,role_claim,ambiguous,0.15,0.45,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Specific role word.,True,
witch,role_claim,ambiguous,0.15,0.45,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Specific role word.,True,
hunter,role_claim,ambiguous,0.15,0.45,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Specific role word.,True,
checked,night_action,neutral,0.1,0.55,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Check-result reference.,True,
report,evidence,neutral,0.1,0.5,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Information report.,True,
night,night_action,neutral,0.1,0.35,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Night-action reference.,True,
kill,night_action,wolf_leaning,0.4,0.3,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Night kill language.,True,
save,night_action,village_leaning,0.15,0.4,-0.15,r2_core_lexicon_v1_frozen_pre_evaluation,Witch save language.,True,
poison,night_action,wolf_leaning,0.3,0.4,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Witch poison language.,True,
antidote,night_action,village_leaning,0.1,0.4,-0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Witch antidote language.,True,
shot,night_action,neutral,0.25,0.35,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Hunter shot language.,True,
panic,emotional_intensity,wolf_leaning,0.8,0.05,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Panic cue.,True,
urgent,emotional_intensity,wolf_leaning,0.7,0.05,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Urgency cue.,True,
now,emotional_intensity,wolf_leaning,0.45,0.05,0.15,r2_core_lexicon_v1_frozen_pre_evaluation,Immediate action cue.,True,
angry,emotional_intensity,wolf_leaning,0.7,0.05,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Emotional cue.,True,
serious,emotional_intensity,wolf_leaning,0.45,0.05,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Intensity cue.,True,
stop,emotional_intensity,wolf_leaning,0.55,0.05,0.2,r2_core_lexicon_v1_frozen_pre_evaluation,Urgent command.,True,
coordinate,coordination,neutral,0.15,0.4,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Group coordination.,True,
plan,coordination,neutral,0.1,0.4,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Group plan.,True,
follow,coordination,wolf_leaning,0.2,0.2,0.15,r2_core_lexicon_v1_frozen_pre_evaluation,Coalition steering.,True,
together,coordination,neutral,0.1,0.2,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Collective action.,True,
split,coordination,neutral,0.1,0.3,0.0,r2_core_lexicon_v1_frozen_pre_evaluation,Vote split reference.,True,
because,evidence,neutral,0.05,0.5,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Causal evidence marker.,True,
logic,evidence,neutral,0.05,0.45,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Reasoning marker.,True,
evidence,evidence,neutral,0.05,0.55,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Evidence marker.,True,
pattern,evidence,neutral,0.05,0.45,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Pattern evidence.,True,
record,evidence,neutral,0.05,0.45,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Historical evidence.,True,
reason,evidence,neutral,0.05,0.5,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Reasoning marker.,True,
vote_history,evidence,neutral,0.05,0.55,-0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Concrete vote-history reference.,True,
rumor,misinformation,wolf_leaning,0.25,0.05,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Low-evidence claim.,True,
lie,misinformation,wolf_leaning,0.5,0.15,0.4,r2_core_lexicon_v1_frozen_pre_evaluation,Misinformation accusation.,True,
misread,misinformation,neutral,0.2,0.1,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Possible error cue.,True,
noise,misinformation,neutral,0.15,0.05,0.05,r2_core_lexicon_v1_frozen_pre_evaluation,Low-information cue.,True,
threat,threat,wolf_leaning,0.5,0.2,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Threat framing.,True,
danger,threat,wolf_leaning,0.5,0.15,0.25,r2_core_lexicon_v1_frozen_pre_evaluation,Danger framing.,True,
risk,threat,neutral,0.3,0.2,0.1,r2_core_lexicon_v1_frozen_pre_evaluation,Risk framing.,True,
